"","pool","prevalence","above.llod","limit","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"1",1,0.001,0.05,35,0,0.001,1,1.0009851,1,1.0009851,1,0,0,0,NA,0.9851,0.999,0.0009851,1.49e-05,0,NA,NA,NA
"2",1,0.001,0.1,35,0.002,0.001,1.0019276,1.0009638,1.0019276,1.0009638,0.998,0.0019276,7.24e-05,0,0.9638,0.9638,0.999,0.0009638,3.62e-05,0,0.9638,0.959951393802775,0.967375341415056
"3",1,0.001,0.15,35,0,0.001,1,1.000944,1,1.000944,1,0,0,0,NA,0.944,0.999,0.000944,5.6e-05,0,NA,NA,NA
"4",1,0.001,0.2,35,0,0.001,1,1.0009244,1,1.0009244,1,0,0,0,NA,0.9244,0.999,0.0009244,7.56e-05,0,NA,NA,NA
"5",1,0.001,0.25,35,0,0.001,1,1.0008909,1,1.0008909,1,0,0,0,NA,0.8909,0.999,0.0008909,0.0001091,0,NA,NA,NA
"6",1,0.001,0.3,35,0,0.001,1,1.0008666,1,1.0008666,1,0,0,0,NA,0.8666,0.999,0.0008666,0.0001334,0,NA,NA,NA
"7",1,0.01,0.05,35,0.00903614457831325,0.01,1.00890331325301,1.009853,1.00890331325301,1.009853,0.990963855421687,0.00890331325301204,0.000132831325301205,0,0.9853,0.9853,0.99,0.009853,0.000147,0,0.9853,0.982744672318699,0.987566644529471
"8",1,0.01,0.1,35,0.00403632694248234,0.01,1.0039019172553,1.009667,1.0039019172553,1.009667,0.995963673057518,0.00390191725529768,0.000134409687184662,0,0.9667,0.9667,0.99,0.009667,0.000333,0,0.9667,0.962994767031676,0.970130061804447
"9",1,0.01,0.15,35,0.00503018108651911,0.01,1.00476911468813,1.009481,1.00476911468813,1.009481,0.994969818913481,0.00476911468812877,0.000261066398390342,0,0.9481,0.9481,0.99,0.009481,0.000519,0,0.9481,0.943570055430544,0.952366661504005
"10",1,0.01,0.2,35,0.00100401606425703,0.01,1.00092469879518,1.00921,1.00092469879518,1.00921,0.998995983935743,0.000924698795180723,7.93172690763052e-05,0,0.921,0.921,0.99,0.00921,0.00079,0,0.921,0.915539682245513,0.926213609949021
"11",1,0.01,0.25,35,0.0050251256281407,0.01,1.00448291457286,1.008921,1.00448291457286,1.008921,0.994974874371859,0.00448291457286432,0.000542211055276382,0,0.8921,0.8921,0.99,0.008921,0.001079,0,0.8921,0.88585455010377,0.898116045797179
"12",1,0.01,0.3,35,0.00402010050251256,0.01,1.00346613065327,1.008622,1.00346613065327,1.008622,0.995979899497487,0.00346613065326633,0.000553969849246231,0,0.8622,0.8622,0.99,0.008622,0.001378,0,0.8622,0.855288707181775,0.86889960867151
"13",1,0.05,0.05,35,0.0295918367346939,0.05,1.02909173469388,1.049155,1.02909173469388,1.049155,0.970408163265306,0.0290917346938775,0.000500102040816327,0,0.9831,0.9831,0.95,0.049155,0.000845,0,0.9831,0.980378254884214,0.985534879014463
"14",1,0.05,0.1,35,0.0276073619631902,0.05,1.02665214723926,1.04827,1.02665214723926,1.04827,0.97239263803681,0.0266521472392638,0.00095521472392638,0,0.9654,0.9654,0.95,0.04827,0.00173,0,0.9654,0.961629667534108,0.968896019279013
"15",1,0.05,0.15,35,0.0225641025641026,0.05,1.02128246153846,1.04716,1.02128246153846,1.04716,0.977435897435897,0.0212824615384615,0.00128164102564103,0,0.9432,0.9432,0.95,0.04716,0.00284,0,0.9432,0.938482828975118,0.947656927799717
"16",1,0.05,0.2,35,0.023686920700309,0.05,1.02170195674562,1.04581,1.02170195674562,1.04581,0.976313079299691,0.0217019567456231,0.00198496395468589,0,0.9162,0.9162,0.95,0.04581,0.00419,0,0.9162,0.910597151001869,0.92155903333758
"17",1,0.05,0.25,35,0.0249480249480249,0.05,1.02211891891892,1.04433,1.02211891891892,1.04433,0.975051975051975,0.0221189189189189,0.00282910602910603,0,0.8866,0.8866,0.95,0.04433,0.00567,0,0.8866,0.880222424250533,0.892751441592012
"18",1,0.05,0.3,35,0.0286006128702758,0.05,1.02451072522983,1.04285,1.02451072522983,1.04285,0.971399387129724,0.0245107252298263,0.00408988764044944,0,0.857,0.857,0.95,0.04285,0.00715,0,0.857,0.849984773054763,0.863806612831849
"19",1,0.1,0.05,35,0.0482180293501048,0.1,1.04746582809224,1.09844,1.04746582809224,1.09844,0.951781970649895,0.0474658280922432,0.000752201257861635,0,0.9844,0.9844,0.9,0.09844,0.00156,0,0.9844,0.981775114275101,0.986736959431988
"20",1,0.1,0.1,35,0.0591966173361522,0.1,1.05734376321353,1.09687,1.05734376321353,1.09687,0.940803382663848,0.0573437632135307,0.00185285412262156,0,0.9687,0.9687,0.9,0.09687,0.00313,0,0.9687,0.965097740007307,0.9720257567314
"21",1,0.1,0.15,35,0.0444674250258532,0.1,1.04187942088935,1.09418,1.04187942088935,1.09418,0.955532574974147,0.0418794208893485,0.00258800413650465,0,0.9418,0.9418,0.9,0.09418,0.00582,0,0.9418,0.937031127944014,0.946309492869048
"22",1,0.1,0.2,35,0.0651945320715037,0.1,1.06016151419558,1.09228,1.06016151419558,1.09228,0.934805467928497,0.0601615141955836,0.00503301787592008,0,0.9228,0.9228,0.9,0.09228,0.00772,0,0.9228,0.917394587591907,0.927957617584118
"23",1,0.1,0.25,35,0.0621707060063225,0.1,1.05554952581665,1.08935,1.05554952581665,1.08935,0.937829293993678,0.0555495258166491,0.00662118018967334,0,0.8935,0.8935,0.9,0.08935,0.01065,0,0.8935,0.88728896091414,0.89948080170946
"24",1,0.1,0.3,35,0.0505795574288725,0.1,1.04400927291886,1.08701,1.04400927291886,1.08701,0.949420442571127,0.044009272918862,0.00657028451001054,0,0.8701,0.8701,0.9,0.08701,0.01299,0,0.8701,0.863352847646139,0.876630798412582
"25",1,0.15,0.05,35,0.0856832971800434,0.15,1.08446659436009,1.14787,1.08446659436009,1.14787,0.914316702819957,0.0844665943600868,0.00121670281995662,0,0.9858,0.9858,0.85,0.14787,0.00213,0,0.9858,0.983284279213457,0.988026607818507
"26",1,0.15,0.1,35,0.0792291220556745,0.15,1.07667002141328,1.145155,1.07667002141328,1.145155,0.920770877944325,0.0766700214132762,0.00255910064239829,0,0.9677,0.9677,0.85,0.145155,0.004845,0,0.9677,0.964045811732716,0.971078353000561
"27",1,0.15,0.15,35,0.0784313725490196,0.15,1.07465098039216,1.14277,1.07465098039216,1.14277,0.92156862745098,0.0746509803921568,0.00378039215686274,0,0.9518,0.9518,0.85,0.14277,0.00723,0,0.9518,0.947418492539964,0.955915910104596
"28",1,0.15,0.2,35,0.0634408602150538,0.15,1.05850516129032,1.13833,1.05850516129032,1.13833,0.936559139784946,0.0585051612903226,0.00493569892473118,0,0.9222,0.9222,0.85,0.13833,0.01167,0,0.9222,0.916776194488144,0.927376373186158
"29",1,0.15,0.25,35,0.0811688311688312,0.15,1.07243506493506,1.13386,1.07243506493506,1.13386,0.918831168831169,0.0724350649350649,0.00873376623376623,0,0.8924,0.8924,0.85,0.13386,0.01614,0,0.8924,0.886161896619787,0.898408520754854
"30",1,0.15,0.3,35,0.0796074154852781,0.15,1.06803249727372,1.12819,1.06803249727372,1.12819,0.920392584514722,0.0680324972737186,0.0115749182115594,0,0.8546,0.8546,0.85,0.12819,0.02181,0,0.8546,0.847537852906884,0.861454949001773
"31",2,0.001,0.05,35,0.006,0.002,1.0078992,1.0039016942,0.5039496,0.5019508471,0.996,0.0039496,5.04e-05,0,0.9874,0.975911505752877,0.998001,0.0019508471,4.81529e-05,0,0.9874,0.985016152344437,0.989493305850809
"32",2,0.001,0.1,35,0.003,0.002,1.0038982,1.0038097808,0.5019491,0.5019048904,0.998,0.0019491,5.09e-05,0,0.97455,0.952921660830415,0.998001,0.0019048904,9.41096e-05,0,0.97455,0.971271618904801,0.97754787291687
"33",2,0.001,0.15,35,0.003,0.002,1.0038346,1.00369469,0.5019173,0.501847345,0.998,0.0019173,8.27e-05,0,0.95865,0.924134567283642,0.998001,0.001847345,0.000151655,0,0.95865,0.954561917426995,0.962468144949917
"34",2,0.001,0.2,35,0.002,0.002,1.0019716,1.0036043656,0.5009858,0.5018021828,0.999,0.0009858,1.42e-05,0,0.9858,0.901542171085543,0.998001,0.0018021828,0.0001968172,0,0.9858,0.983284279213456,0.988026607818507
"35",2,0.001,0.25,35,0,0.002,1,1.0034385164,0.5,0.5017192582,1,0,0,0,NA,0.860059129564782,0.998001,0.0017192582,0.0002797418,0,NA,NA,NA
"36",2,0.001,0.3,35,0.00601202404809619,0.002,1.00578837675351,1.0032818424,0.502894188376753,0.5016409212,0.996993987975952,0.00289418837675351,0.000111823647294589,0,0.9628,0.820871035517759,0.998001,0.0016409212,0.0003580788,0,0.9628,0.958903455027625,0.966423931572672
"37",2,0.01,0.05,35,0.0220440881763527,0.02,1.02392344689379,1.03886514,0.511961723446894,0.51943257,0.987975951903807,0.0119617234468938,6.23246492985972e-05,0,0.994816666666667,0.976511055276382,0.9801,0.01943257,0.00046743,0,0.994816666666667,0.993205309218699,0.996128434829137
"38",2,0.01,0.1,35,0.0231155778894472,0.02,1.02946532663316,1.03800158,0.514732663316582,0.51900079,0.984924623115577,0.0147326633165829,0.000342713567839196,0,0.977266666666667,0.954813567839196,0.9801,0.01900079,0.00089921,0,0.977266666666667,0.974152503030381,0.98009838700034
"39",2,0.01,0.15,35,0.0170682730923695,0.02,1.01949417670683,1.0365831,0.509747088353414,0.51829155,0.989959839357429,0.00974708835341365,0.000293072289156626,0,0.97081,0.919173366834171,0.9801,0.01829155,0.00160845,0,0.97081,0.967320396946674,0.974021676092874
"40",2,0.01,0.2,35,0.0261044176706827,0.02,1.03212148594377,1.03544914,0.516060742971887,0.51772457,0.98293172690763,0.0160607429718875,0.00100753012048193,0,0.940970588235294,0.890681909547739,0.9801,0.01772457,0.00217543,0,0.940970588235294,0.936171440504493,0.945510867820772
"41",2,0.01,0.25,35,0.0302724520686176,0.02,1.03109828456105,1.03447316,0.515549142280525,0.51723658,0.983854692230071,0.0155491422805247,0.000596165489404642,0,0.963075,0.866159798994975,0.9801,0.01723658,0.00266342,0,0.963075,0.959191565164808,0.966685642586659
"42",2,0.01,0.3,35,0.0251509054325956,0.02,1.02760563380282,1.0327355,0.513802816901408,0.51636775,0.984909456740442,0.0138028169014084,0.00128772635814889,0,0.914666666666667,0.8225,0.9801,0.01636775,0.00353225,0,0.914666666666667,0.909019424119185,0.920071015578055
"43",2,0.05,0.05,35,0.115897435897436,0.1,1.14033292307692,1.190797,0.570166461538462,0.5953985,0.929230769230769,0.0701664615384615,0.000602769230769231,0,0.991482608695652,0.978446153846154,0.9025,0.0953985,0.0021015,0,0.991482608695652,0.989480996883832,0.993189458874846
"44",2,0.05,0.1,35,0.145769622833843,0.1,1.16827686034659,1.185144,0.584138430173293,0.592572,0.914373088685015,0.0841384301732926,0.00148848114169215,0,0.982616666666667,0.94945641025641,0.9025,0.092572,0.004928,0,0.982616666666667,0.97985991326386,0.985086939465273
"45",2,0.05,0.15,35,0.11522633744856,0.1,1.1321,1.1808865,0.56605,0.59044325,0.932098765432099,0.06605,0.00185123456790123,0,0.972736363636364,0.927623076923077,0.9025,0.09044325,0.00705675,0,0.972736363636363,0.969353582968289,0.975839898165329
"46",2,0.05,0.2,35,0.122933884297521,0.1,1.14226962809917,1.175351,0.571134814049587,0.5876755,0.925619834710744,0.0711348140495868,0.00324535123966942,0,0.956368055555555,0.899235897435897,0.9025,0.0876755,0.0098245,0,0.956368055555555,0.952179304314725,0.960288324325592
"47",2,0.05,0.25,35,0.0969387755102041,0.1,1.11214591836735,1.16793,0.556072959183674,0.583965,0.939795918367347,0.0560729591836735,0.00413112244897959,0,0.931381355932203,0.861179487179487,0.9025,0.083965,0.013535,0,0.931381355932203,0.926249657058673,0.936260055940322
"48",2,0.05,0.3,35,0.106666666666667,0.1,1.11765435897436,1.1605385,0.55882717948718,0.58026925,0.935384615384615,0.0588271794871795,0.00578820512820513,0,0.910420634920635,0.823274358974359,0.9025,0.08026925,0.01723075,0,0.910420634920635,0.904653174749325,0.915947750452783
"49",2,0.1,0.05,35,0.232142857142857,0.2,1.27097899159664,1.371378,0.635489495798319,0.685689,0.863445378151261,0.135489495798319,0.00106512605042017,0,0.9922,0.977310526315789,0.81,0.185689,0.004311,0,0.9922,0.990274675873524,0.993829681407795
"50",2,0.1,0.1,35,0.209850107066381,0.2,1.24226959314775,1.362734,0.621134796573876,0.681367,0.876873661670236,0.121134796573876,0.00199154175588865,0,0.983825217391304,0.954563157894737,0.81,0.181367,0.00863299999999999,0,0.983825217391304,0.98115700333409,0.986205978362779
"51",2,0.1,0.15,35,0.250797024442083,0.2,1.28605696068013,1.354394,0.643028480340064,0.677197,0.853347502656748,0.143028480340064,0.0036240170031881,0,0.975288405797102,0.932615789473684,0.81,0.177197,0.012803,0,0.975288405797102,0.972053683515366,0.978242099678957
