"","pool","prevalence","above.llod","limit","pos","total.tests","tests.per.sample","tn","tp","fn","fp","ppa","est","lwr.ci","upr.ci"
"1",1,0.001,0.05,35,0.001,1.0009851,1.0009851,0.999,0.0009851,1.49e-05,0,0.9851,0.9851,0.982529026711182,0.987382460123321
"2",1,0.001,0.1,35,0.001,1.0009616,1.0009616,0.999,0.0009616,3.84e-05,0,0.9616,0.9616,0.957646877347215,0.965281287305165
"3",1,0.001,0.15,35,0.001,1.000948,1.000948,0.999,0.000948,5.2e-05,0,0.948,0.948,0.943466131619757,0.952270647620317
"4",1,0.001,0.2,35,0.001,1.0009129,1.0009129,0.999,0.0009129,8.71e-05,0,0.9129,0.9129,0.907202261681907,0.918355905986488
"5",1,0.001,0.25,35,0.001,1.0008996,1.0008996,0.999,0.0008996,0.0001004,0,0.8996,0.8996,0.893542784611962,0.905423342442668
"6",1,0.001,0.3,35,0.001,1.0008656,1.0008656,0.999,0.0008656,0.0001344,0,0.8656,0.8656,0.858758402655491,0.872227904300709
"7",1,0.01,0.05,35,0.01,1.009839,1.009839,0.99,0.009839,0.000161,0,0.9839,0.9839,0.981237377012142,0.986275108750906
"8",1,0.01,0.1,35,0.01,1.009648,1.009648,0.99,0.009648,0.000352,0,0.9648,0.9648,0.961000082065426,0.968325998834343
"9",1,0.01,0.15,35,0.01,1.00948,1.00948,0.99,0.00948,0.00052,0,0.948,0.948,0.943466131619757,0.952270647620317
"10",1,0.01,0.2,35,0.01,1.009199,1.009199,0.99,0.009199,0.000801,0,0.9199,0.9199,0.914406528218334,0.925147427578492
"11",1,0.01,0.25,35,0.01,1.008928,1.008928,0.99,0.008928,0.001072,0,0.8928,0.8928,0.886571715011651,0.898798464299959
"12",1,0.01,0.3,35,0.01,1.008616,1.008616,0.99,0.008616,0.001384,0,0.8616,0.8616,0.854676552668551,0.868312117563788
"13",1,0.03,0.05,35,0.03,1.02952,1.02952,0.97,0.02952,0.00048,0,0.984,0.984,0.981344874774492,0.986367529026214
"14",1,0.03,0.1,35,0.03,1.028833,1.028833,0.97,0.028833,0.001167,0,0.9611,0.9611,0.95712359847867,0.964804889267558
"15",1,0.03,0.15,35,0.03,1.02826,1.02826,0.97,0.02826,0.00174,0,0.942,0.942,0.937238467486345,0.946502030004169
"16",1,0.03,0.2,35,0.03,1.027666,1.027666,0.97,0.027666,0.002334,0,0.9222,0.9222,0.916776194488144,0.927376373186158
"17",1,0.03,0.25,35,0.03,1.026922,1.026922,0.97,0.026922,0.003078,0,0.8974,0.8974,0.8912865610294,0.903280878164176
"18",1,0.03,0.3,35,0.03,1.025608,1.025608,0.97,0.025608,0.004392,0,0.8536,0.8536,0.846518493620103,0.860474898135237
"19",1,0.05,0.05,35,0.05,1.04922,1.04922,0.95,0.04922,0.00078,0,0.9844,0.9844,0.981775114275101,0.986736959431988
"20",1,0.05,0.1,35,0.05,1.048305,1.048305,0.95,0.048305,0.001695,0,0.9661,0.9661,0.962364548355699,0.969560677192929
"21",1,0.05,0.15,35,0.05,1.04742,1.04742,0.95,0.04742,0.00258,0,0.9484,0.9484,0.943881853782083,0.952654676163368
"22",1,0.05,0.2,35,0.05,1.04603,1.04603,0.95,0.04603,0.00397,0,0.9206,0.9206,0.915127591637466,0.925825941925902
"23",1,0.05,0.25,35,0.05,1.04454,1.04454,0.95,0.04454,0.00546,0,0.8908,0.8908,0.884522884949314,0.896848484361101
"24",1,0.05,0.3,35,0.05,1.042795,1.042795,0.95,0.042795,0.007205,0,0.8559,0.8559,0.848863187219042,0.862728847746921
"25",1,0.1,0.05,35,0.1,1.09835,1.09835,0.9,0.09835,0.00165,0,0.9835,0.9835,0.980807627688034,0.985905183781491
"26",1,0.1,0.1,35,0.1,1.09619,1.09619,0.9,0.09619,0.00381,0,0.9619,0.9619,0.957960927066408,0.965567043426636
"27",1,0.1,0.15,35,0.1,1.0949,1.0949,0.9,0.0949,0.0051,0,0.949,0.949,0.944505572735379,0.953230582900275
"28",1,0.1,0.2,35,0.1,1.09213,1.09213,0.9,0.09213,0.00787,0,0.9213,0.9213,0.91584877635999,0.926504334763093
"29",1,0.1,0.25,35,0.1,1.08947,1.08947,0.9,0.08947,0.01053,0,0.8947,0.8947,0.888518715786142,0.900650332280945
"30",1,0.1,0.3,35,0.1,1.08522,1.08522,0.9,0.08522,0.01478,0,0.8522,0.8522,0.845091576589357,0.859102640795071
"31",1,0.15,0.05,35,0.15,1.147,1.147,0.85,0.147,0.003,0,0.98,0.98,0.977062075223967,0.982653464673387
"32",1,0.15,0.1,35,0.15,1.14484,1.14484,0.85,0.14484,0.00516,0,0.9656,0.9656,0.961839592987507,0.969085962203386
"33",1,0.15,0.15,35,0.15,1.14172,1.14172,0.85,0.14172,0.00828,0,0.9448,0.9448,0.940142863910558,0.949195903069833
"34",1,0.15,0.2,35,0.15,1.13779,1.13779,0.85,0.13779,0.01221,0,0.9186,0.9186,0.913067727347301,0.923887012063658
"35",1,0.15,0.25,35,0.15,1.133995,1.133995,0.85,0.133995,0.016005,0,0.8933,0.8933,0.887084025207887,0.899285856479592
"36",1,0.15,0.3,35,0.15,1.128235,1.128235,0.85,0.128235,0.021765,0,0.8549,0.8549,0.84784368244443,0.861748942491804
"37",2,0.001,0.05,35,0.002,1.00390609,0.501953045,0.998001,0.001953045,4.5955e-05,0,0.977011005502751,0.977011005502752,0.9738809520475,0.979858800398363
"38",2,0.001,0.1,35,0.002,1.0037858074,0.5018929037,0.998001,0.0018929037,0.0001060963,0,0.946925312656328,0.946925312656328,0.942349555026241,0.951238518370654
"39",2,0.001,0.15,35,0.002,1.0037162698,0.5018581349,0.998001,0.0018581349,0.0001408651,0,0.929532216108054,0.929532216108054,0.924339774952318,0.934472783125072
"40",2,0.001,0.2,35,0.002,1.0035600122,0.5017800061,0.998001,0.0017800061,0.0002189939,0,0.890448274137069,0.890448274137069,0.884162638853343,0.896505487927314
"41",2,0.001,0.25,35,0.002,1.0034636858,0.5017318429,0.998001,0.0017318429,0.0002671571,0,0.866354627313657,0.866354627313657,0.859528690636489,0.872966424896159
"42",2,0.001,0.3,35,0.002,1.0032702514,0.5016351257,0.998001,0.0016351257,0.0003638743,0,0.817971835917959,0.817971835917959,0.81026674173227,0.825491286027873
"43",2,0.01,0.05,35,0.02,1.03875434,0.51937717,0.9801,0.01937717,0.00052283,0,0.973727135678392,0.973727135678392,0.97040090295461,0.976773435453452
"44",2,0.01,0.1,35,0.02,1.03777166,0.51888583,0.9801,0.01888583,0.00101417,0,0.949036683417085,0.949036683417085,0.944543711639405,0.953265787930925
"45",2,0.01,0.15,35,0.02,1.03699904,0.51849952,0.9801,0.01849952,0.00140048,0,0.929624120603015,0.929624120603015,0.924434674548087,0.934561636665745
"46",2,0.01,0.2,35,0.02,1.03568336,0.51784168,0.9801,0.01784168,0.00205832,0,0.896566834170854,0.896566834170854,0.890432325332389,0.902469278838646
"47",2,0.01,0.25,35,0.02,1.03397062,0.51698531,0.9801,0.01698531,0.00291469,0,0.853533165829146,0.853533165829146,0.84645036954863,0.860409393283574
"48",2,0.01,0.3,35,0.02,1.03268852,0.51634426,0.9801,0.01634426,0.00355574,0,0.82131959798995,0.82131959798995,0.813668055454309,0.828783530132691
"49",2,0.03,0.05,35,0.0599999999999999,1.11540352,0.55770176,0.9409,0.05770176,0.00139824,0,0.976341116751269,0.976341116751269,0.973169873476835,0.979230582778491
"50",2,0.03,0.1,35,0.0599999999999999,1.1122351,0.55611755,0.9409,0.05611755,0.00298245,0,0.949535532994924,0.949535532994924,0.945062415705693,0.953744471445586
"51",2,0.03,0.15,35,0.0599999999999999,1.11035566,0.55517783,0.9409,0.05517783,0.00392217,0,0.933635025380711,0.933635025380711,0.928578760890003,0.938436917415069
"52",2,0.03,0.2,35,0.0599999999999999,1.10604538,0.55302269,0.9409,0.05302269,0.00607731,0,0.897169035532995,0.897169035532995,0.891049743593158,0.903055904355806
"53",2,0.03,0.25,35,0.0599999999999999,1.10167042,0.55083521,0.9409,0.05083521,0.00826478999999999,0,0.860155837563452,0.860155837563452,0.85320331011526,0.866897888054808
"54",2,0.03,0.3,35,0.0599999999999999,1.0965109,0.54825545,0.9409,0.04825545,0.01084455,0,0.816505076142132,0.816505076142132,0.808776821442241,0.824048548078657
"55",2,0.05,0.05,35,0.1,1.1907215,0.59536075,0.9025,0.09536075,0.00213925,0,0.978058974358974,0.978058974358974,0.974994672330612,0.980840256630419
"56",2,0.05,0.1,35,0.1,1.185227,0.5926135,0.9025,0.0926135,0.0048865,0,0.949882051282051,0.949882051282051,0.945422793768435,0.95407691333778
"57",2,0.05,0.15,35,0.1,1.1813865,0.59069325,0.9025,0.09069325,0.00680675,0,0.930187179487179,0.930187179487179,0.925016137176928,0.935105949509872
