"","pool","prevalence","above.llod","limit","pos","total.tests","tests.per.sample","tn","tp","fn","fp","ppa","est","lwr.ci","upr.ci"
"1",2,0.001,0.05,35,2,2.9834,1.4917,0,0.9917,0.0083,0,0.9917,0.9917,0.989721148036331,0.993383829587218
"2",2,0.001,0.1,35,2,2.9598,1.4799,0,0.9799,0.0201,0,0.9799,0.9799,0.976955408675065,0.982560206508116
"3",2,0.001,0.15,35,2,2.9298,1.4649,0,0.9649,0.0351,0,0.9649,0.9649,0.961104993283787,0.96842102201479
"4",2,0.001,0.2,35,2,2.889,1.4445,0,0.9445,0.0555,0,0.9445,0.9445,0.93983152858797,0.948907424175086
"5",2,0.001,0.25,35,2,2.858,1.429,0,0.929,0.071,0,0.929,0.929,0.923790262626191,0.933958186587276
"6",2,0.001,0.3,35,2,2.805,1.4025,0,0.9025,0.0975,0,0.9025,0.9025,0.896518235132543,0.908246160523253
"7",2,0.01,0.05,35,2,2.984,1.492,0,0.992,0.008,0,0.992,0.992,0.990053061115513,0.9936515479365
"8",2,0.01,0.1,35,2,2.965,1.4825,0,0.9825,0.0175,0,0.9825,0.9825,0.979734873406157,0.984978738399504
"9",2,0.01,0.15,35,2,2.9324,1.4662,0,0.9662,0.0338,0,0.9662,0.9662,0.962469564001824,0.969655595515817
"10",2,0.01,0.2,35,2,2.8988,1.4494,0,0.9494,0.0506,0,0.9494,0.9494,0.944921477017528,0.953614428827452
"11",2,0.01,0.25,35,2,2.8598,1.4299,0,0.9299,0.0701,0,0.9299,0.9299,0.924719559501124,0.934828342816514
"12",2,0.01,0.3,35,2,2.8102,1.4051,0,0.9051,0.0949,0,0.9051,0.9051,0.89918721935458,0.910775622197111
"13",2,0.03,0.05,35,2,2.9862,1.4931,0,0.9931,0.0069,0,0.9931,0.9931,0.991275617415532,0.994627537160565
"14",2,0.03,0.1,35,2,2.961,1.4805,0,0.9805,0.0195,0,0.9805,0.9805,0.977595676828412,0.983119484698925
"15",2,0.03,0.15,35,2,2.928,1.464,0,0.964,0.036,0,0.964,0.964,0.960161070538681,0.967565534056831
"16",2,0.03,0.2,35,2,2.8918,1.4459,0,0.9459,0.0541,0,0.9459,0.9459,0.941284745013312,0.950253339957521
"17",2,0.03,0.25,35,2,2.8622,1.4311,0,0.9311,0.0689,0,0.9311,0.9311,0.925958993059098,0.935988179338398
"18",2,0.03,0.3,35,2,2.8144,1.4072,0,0.9072,0.0928,0,0.9072,0.9072,0.901343894592514,0.912817690384418
"19",2,0.05,0.05,35,2,2.9854,1.4927,0,0.9927,0.0073,0,0.9927,0.9927,0.990829977556022,0.994273726748005
"20",2,0.05,0.1,35,2,2.9608,1.4804,0,0.9804,0.0196,0,0.9804,0.9804,0.977488920215679,0.983026317249877
"21",2,0.05,0.15,35,2,2.929,1.4645,0,0.9645,0.0355,0,0.9645,0.9645,0.960685395094407,0.96804088242115
"22",2,0.05,0.2,35,2,2.8998,1.4499,0,0.9499,0.0501,0,0.9499,0.9499,0.945441461919991,0.954094131397548
"23",2,0.05,0.25,35,2,2.8646,1.4323,0,0.9323,0.0677,0,0.9323,0.9323,0.927198860107409,0.937147581507487
"24",2,0.05,0.3,35,2,2.8152,1.4076,0,0.9076,0.0924,0,0.9076,0.9076,0.901754789225106,0.91320655626269
"25",2,0.1,0.05,35,2,2.9862,1.4931,0,0.9931,0.0069,0,0.9931,0.9931,0.991275617415532,0.994627537160565
"26",2,0.1,0.1,35,2,2.9588,1.4794,0,0.9794,0.0206,0,0.9794,0.9794,0.976422337690068,0.982093652067212
"27",2,0.1,0.15,35,2,2.9336,1.4668,0,0.9668,0.0332,0,0.9668,0.9668,0.963099832849481,0.970224929743195
"28",2,0.1,0.2,35,2,2.8926,1.4463,0,0.9463,0.0537,0,0.9463,0.9463,0.941700100437385,0.950637736207133
"29",2,0.1,0.25,35,2,2.864,1.432,0,0.932,0.068,0,0.932,0.932,0.926888852128155,0.936857772265296
"30",2,0.1,0.3,35,2,2.814,1.407,0,0.907,0.093,0,0.907,0.907,0.901138459307093,0.912623245397134
"31",2,0.15,0.05,35,2,2.9816,1.4908,0,0.9908,0.0092,0,0.9908,0.9908,0.988728785925552,0.992577240325931
"32",2,0.15,0.1,35,2,2.9614,1.4807,0,0.9807,0.0193,0,0.9807,0.9807,0.977809245447506,0.983305763795253
"33",2,0.15,0.15,35,2,2.9322,1.4661,0,0.9661,0.0339,0,0.9661,0.9661,0.962364548355699,0.969560677192929
"34",2,0.15,0.2,35,2,2.893,1.4465,0,0.9465,0.0535,0,0.9465,0.9465,0.941907803710214,0.950829908704894
"35",2,0.15,0.25,35,2,2.8654,1.4327,0,0.9327,0.0673,0,0.9327,0.9327,0.927612247291408,0.937533950531095
"36",2,0.15,0.3,35,2,2.8148,1.4074,0,0.9074,0.0926,0,0.9074,0.9074,0.901549337890754,0.913012127347388
"37",3,0.001,0.05,35,2.0003335557038,3.96520480320213,1.32173493440071,0,0.988401601067378,0.0115983989326217,0,0.988401601067378,0.988401601067378,0.986104772426085,0.990406943110599
"38",3,0.001,0.1,35,2.0003335557038,3.92830860573716,1.30943620191239,0,0.976102868579053,0.0238971314209473,0,0.976102868579053,0.976102868579053,0.972917127577637,0.979007002591005
"39",3,0.001,0.15,35,2.0003335557038,3.87311761174116,1.29103920391372,0,0.957705870580387,0.0422941294196131,0,0.957705870580387,0.957705870580387,0.953575760561125,0.961566646282299
"40",3,0.001,0.2,35,2.0003335557038,3.79632761841227,1.26544253947076,0,0.932109206137425,0.067890793862575,0,0.932109206137425,0.932109206137425,0.927001698172204,0.936963271967439
"41",3,0.001,0.25,35,2.0003335557038,3.75102301534356,1.25034100511452,0,0.917007671781187,0.0829923282188125,0,0.917007671781187,0.917007671781187,0.911428423329556,0.922342618555915
"42",3,0.001,0.3,35,2.0003335557038,3.6538458305537,1.21794861018457,0,0.884615276851234,0.115384723148766,0,0.884615276851234,0.884615276851234,0.878191178661487,0.890814419533679
"43",3,0.01,0.05,35,2.00335570469799,3.97571812080537,1.32523937360179,0,0.991906040268456,0.00809395973154362,0,0.991906040268456,0.991906040268457,0.989949041710639,0.993567764452028
"44",3,0.01,0.1,35,2.00335570469799,3.92391174496644,1.30797058165548,0,0.974637248322148,0.0253627516778523,0,0.974637248322148,0.974637248322148,0.971363989820095,0.977629937382333
"45",3,0.01,0.15,35,2.00335570469799,3.87775302013423,1.29258434004474,0,0.959251006711409,0.0407489932885906,0,0.959251006711409,0.959251006711409,0.955189963955847,0.963041726821897
"46",3,0.01,0.2,35,2.00335570469799,3.80223456375839,1.2674115212528,0,0.934078187919463,0.0659218120805369,0,0.934078187919463,0.934078187919463,0.929036944022124,0.938864788872987
"47",3,0.01,0.25,35,2.00335570469799,3.73244429530201,1.244148098434,0,0.910814765100671,0.0891852348993288,0,0.910814765100671,0.910814765100671,0.905058300603934,0.91633064860078
"48",3,0.01,0.3,35,2.00335570469799,3.67127348993289,1.22375782997763,0,0.890424496644295,0.109575503355705,0,0.890424496644295,0.890424496644295,0.884138286090916,0.896482299845488
"49",3,0.03,0.05,35,2.01020408163265,3.97043775510204,1.32347925170068,0,0.990145918367347,0.00985408163265306,0,0.990145918367347,0.990145918367347,0.988010447561115,0.99198813226334
"50",3,0.03,0.1,35,2.01020408163265,3.92502755102041,1.3083425170068,0,0.975009183673469,0.0249908163265306,0,0.975009183673469,0.975009183673469,0.971757870266414,0.977979665865666
"51",3,0.03,0.15,35,2.01020408163265,3.8746,1.29153333333333,0,0.9582,0.0418,0,0.9582,0.9582,0.954091818174033,0.962038531984671
"52",3,0.03,0.2,35,2.01020408163265,3.81162142857143,1.27054047619048,0,0.937207142857143,0.0627928571428571,0,0.937207142857143,0.937207142857143,0.932273775656641,0.94188395347128
"53",3,0.03,0.25,35,2.01020408163265,3.74109387755102,1.24703129251701,0,0.913697959183673,0.0863020408163265,0,0.913697959183673,0.913697959183673,0.908022943062682,0.919130663741399
"54",3,0.03,0.3,35,2.01020408163265,3.64220102040816,1.21406700680272,0,0.880733673469388,0.119266326530612,0,0.880733673469388,0.880733673469388,0.874220286500493,0.887024408177425
