"","type","pool_size","tau","prev","tau_param","prev_param","prev_setting","tau_setting","sd_sens","sd_ppa","sd_tests","sd_missed","mean_sens","mean_ppa","mean_tests","mean_missed","sens_q025","sens_q975","ppa_q025","ppa_q975","tests_q025","tests_q975","missed_q025","missed_q975"
"1","All Graph Effect",1,0.012,0.013,"0.74 , 62.23","16.67 , 1282.88","Georgia Jul 2020","Household asymptomatic_index",0,0,0.00302695959021313,0.000227993028073594,0.928351454798,1,1.01207655838128,0.000920251015805465,0.928351454798,0.928351454798,1,1,1.00659772292148,1.0174327220619,0.000505844845821997,0.00132237399911694
"2","All Graph Effect",1,0.012,0.002,"0.74 , 62.23","9.94 , 6561.33","Maine Oct 2020","Household asymptomatic_index",0,0,0.000458324150982403,3.52677061461185e-05,0.9283515,1,1.00143277,0.0001104036931,0.9283515,0.9283515,1,1,1.000647325,1.002304625,4.991884225e-05,0.0001774745075
"3","All Graph Effect",1,0.012,0.004,"0.74 , 62.23","5.77 , 1543.33","Idaho May 2021","Household asymptomatic_index",0,0,0.00155276434405927,0.000118904997985756,0.9283515,1,1.00361227,0.0002776070129,0.9283515,0.9283515,1,1,1.00105815,1.006697975,8.1553919e-05,0.000513491185
"4","All Graph Effect",1,0.012,0.005,"0.74 , 62.23","13.06 , 2836.41","Oregon Apr 2021","Household asymptomatic_index",0,0,0.00123942586394759,9.4806503273727e-05,0.9283515,1,1.00434175,0.00033352803,0.9283515,0.9283515,1,1,1.002175275,1.00657575,0.0001675216925,0.0005041877875
"5","All Graph Effect",1,0.012,0.034,"0.74 , 62.23","16.99 , 477.12","Iowa Nov 2020","Household asymptomatic_index",0,0,0.00792920250623917,0.000573898607807892,0.9283515,1,1.03231483,0.00241156204,0.9283515,0.9283515,1,1,1.017851575,1.046261925,0.001353481675,0.003412519
"6","All Graph Effect",1,0.012,0.054,"0.74 , 62.23","14.38 , 251.01","Alabama Jan 2021","Household asymptomatic_index",0,0,0.0134409654600735,0.00093792397033332,0.9283515,1,1.05104831,0.00373658898,0.9283515,0.9283515,1,1,1.02679225,1.07484595,0.0020135198,0.005374200725
"7","All Graph Effect",1,0.023,0.013,"8.3 , 359.61","16.67 , 1282.88","Georgia Jul 2020","Healthcare",0,0,0.00300059221127721,0.000226120514210931,0.928351454798,1,1.01181777519195,0.000900758596471269,0.928351454798,0.928351454798,1,1,1.00659443742672,1.01733483986045,0.000505594845712577,0.00131507604318929
"8","All Graph Effect",1,0.023,0.002,"8.3 , 359.61","9.94 , 6561.33","Maine Oct 2020","Healthcare",0,0,0.000456949202136672,3.51632479963147e-05,0.9283515,1,1.00141982,0.0001094074402,0.9283515,0.9283515,1,1,1.000647325,1.002304625,4.991884225e-05,0.0001774745075
"9","All Graph Effect",1,0.023,0.004,"8.3 , 359.61","5.77 , 1543.33","Idaho May 2021","Healthcare",0,0,0.00155778510528328,0.000119293246439568,0.9283515,1,1.00354899,0.0002727567461,0.9283515,0.9283515,1,1,1.00105815,1.006697975,8.1553919e-05,0.000513491185
"10","All Graph Effect",1,0.023,0.005,"8.3 , 359.61","13.06 , 2836.41","Oregon Apr 2021","Healthcare",0,0,0.00123738368154488,9.46476711238532e-05,0.9283515,1,1.00430678,0.000330850211,0.9283515,0.9283515,1,1,1.002175275,1.00657575,0.0001675216925,0.0005041877875
