"","pool","prevalence","above.llod","limit","tau","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"1",1,0.001,0.15,35,0.1,0.001,0.001,1.0009438,1.0009438,1.0009438,1.0009438,0.999,0.0009438,5.62e-05,0,0.9438,0.9438,0.999,0.000943800000000001,5.62000000000001e-05,0,0.9438,0.939105221598712,0.948234164301968
"2",1,0.001,0.15,35,0.2,0.001,0.001,1.0009486,1.0009486,1.0009486,1.0009486,0.999,0.0009486,5.14e-05,0,0.9486,0.9486,0.999,0.000948600000000001,5.14000000000001e-05,0,0.9486,0.944089741905598,0.952846663319439
"3",1,0.001,0.15,35,0.3,0.001,0.001,1.0009457,1.0009457,1.0009457,1.0009457,0.999,0.0009457,5.43e-05,0,0.9457,0.9457,0.999,0.000945700000000001,5.43000000000001e-05,0,0.9457,0.94107709268409,0.950061116384452
"4",1,0.001,0.15,35,0.4,0.001,0.001,1.0009425,1.0009425,1.0009425,1.0009425,0.999,0.0009425,5.75e-05,0,0.9425,0.9425,0.999,0.000942500000000001,5.75000000000001e-05,0,0.9425,0.937756883506078,0.946983305517112
"5",1,0.001,0.15,35,0.5,0.001,0.001,1.0009464,1.0009464,1.0009464,1.0009464,0.999,0.0009464,5.36e-05,0,0.9464,0.9464,0.999,0.000946400000000001,5.36000000000001e-05,0,0.9464,0.941803949934389,0.950733824600987
"6",1,0.01,0.15,35,0.1,0.01,0.01,1.009411,1.009411,1.009411,1.009411,0.99,0.009411,0.000589,0,0.9411,0.9411,0.99,0.009411,0.000589,0,0.9411,0.936305559085615,0.945635493072328
"7",1,0.01,0.15,35,0.2,0.01,0.01,1.009475,1.009475,1.009475,1.009475,0.99,0.009475,0.000525,0,0.9475,0.9475,0.99,0.009475,0.000525,0,0.9475,0.942946579316724,0.951790511272238
"8",1,0.01,0.15,35,0.3,0.01,0.01,1.009437,1.009437,1.009437,1.009437,0.99,0.009437,0.000563,0,0.9437,0.9437,0.99,0.009437,0.000563,0,0.9437,0.939001479547274,0.948137968190262
"9",1,0.01,0.15,35,0.4,0.01,0.01,1.009426,1.009426,1.009426,1.009426,0.99,0.009426,0.000574,0,0.9426,0.9426,0.99,0.009426,0.000574,0,0.9426,0.93786057829878,0.947079549003037
"10",1,0.01,0.15,35,0.5,0.01,0.01,1.009445,1.009445,1.009445,1.009445,0.99,0.009445,0.000555,0,0.9445,0.9445,0.99,0.009445,0.000555,0,0.9445,0.93983152858797,0.948907424175086
"11",1,0.03,0.15,35,0.1,0.03,0.03,1.02838,1.02838,1.02838,1.02838,0.97,0.02838,0.00162,0,0.946,0.946,0.97,0.02838,0.00162,0,0.946,0.941388577507037,0.950349445398655
"12",1,0.03,0.15,35,0.2,0.03,0.03,1.028257,1.028257,1.028257,1.028257,0.97,0.028257,0.001743,0,0.9419,0.9419,0.97,0.028257,0.001743,0,0.9419,0.937134795805509,0.946405763350839
"13",1,0.03,0.15,35,0.3,0.03,0.03,1.028314,1.028314,1.028314,1.028314,0.97,0.028314,0.001686,0,0.9438,0.9438,0.97,0.028314,0.001686,0,0.9438,0.939105221598712,0.948234164301968
"14",1,0.03,0.15,35,0.4,0.03,0.03,1.028272,1.028272,1.028272,1.028272,0.97,0.028272,0.001728,0,0.9424,0.9424,0.97,0.028272,0.001728,0,0.9424,0.937653192588865,0.946887058146341
"15",1,0.03,0.15,35,0.5,0.03,0.03,1.028305,1.028305,1.028305,1.028305,0.97,0.028305,0.001695,0,0.9435,0.9435,0.97,0.028305,0.001695,0,0.9435,0.938794007411167,0.947945563970555
"16",1,0.05,0.15,35,0.1,0.05,0.0500000000000001,1.047145,1.047145,1.047145,1.047145,0.95,0.047145,0.002855,0,0.9429,0.9429,0.95,0.0471450000000001,0.002855,0,0.9429,0.938171686025021,0.947368256056138
"17",1,0.05,0.15,35,0.2,0.05,0.0500000000000001,1.047155,1.047155,1.047155,1.047155,0.95,0.047155,0.002845,0,0.9431,0.9431,0.95,0.0471550000000001,0.002845,0,0.9431,0.938379110728549,0.947560707824648
"18",1,0.05,0.15,35,0.3,0.05,0.0500000000000001,1.0472,1.0472,1.0472,1.0472,0.95,0.0472,0.0028,0,0.944,0.944,0.95,0.0472000000000001,0.0028,0,0.944,0.939312717718403,0.948426544478825
"19",1,0.05,0.15,35,0.4,0.05,0.0500000000000001,1.047105,1.047105,1.047105,1.047105,0.95,0.047105,0.002895,0,0.9421,0.9421,0.95,0.0471050000000001,0.002895,0,0.9421,0.937342142995781,0.946598292819741
"20",1,0.05,0.15,35,0.5,0.05,0.0500000000000001,1.047365,1.047365,1.047365,1.047365,0.95,0.047365,0.002635,0,0.9473,0.9473,0.95,0.0473650000000001,0.002635,0,0.9473,0.942738789321946,0.951598425724203
"21",1,0.1,0.15,35,0.1,0.1,0.1,1.09434,1.09434,1.09434,1.09434,0.9,0.09434,0.00566,0,0.9434,0.9434,0.9,0.09434,0.00566,0,0.9434,0.938690277306614,0.947849355882525
"22",1,0.1,0.15,35,0.2,0.1,0.1,1.0943,1.0943,1.0943,1.0943,0.9,0.0943,0.0057,0,0.943,0.943,0.9,0.0943,0.0057,0,0.943,0.938275396415086,0.947464483906873
"23",1,0.1,0.15,35,0.3,0.1,0.1,1.09416,1.09416,1.09416,1.09416,0.9,0.09416,0.00584,0,0.9416,0.9416,0.9,0.09416,0.00584,0,0.9416,0.936823803642211,0.946116940457077
"24",1,0.1,0.15,35,0.4,0.1,0.1,1.09407,1.09407,1.09407,1.09407,0.9,0.09407,0.00593,0,0.9407,0.9407,0.9,0.09407,0.00593,0,0.9407,0.935891030935146,0.945250267510795
"25",1,0.1,0.15,35,0.5,0.1,0.1,1.0945,1.0945,1.0945,1.0945,0.9,0.0945,0.0055,0,0.945,0.945,0.9,0.0945,0.0055,0,0.945,0.940350441298996,0.949388201774622
"26",2,0.001,0.15,35,0.1,0.0021998,0.00219980000000009,1.00372873212,1.00407238656078,0.50186436606,0.502036193280389,0.998001,0.00186436606,0.00013463394,0,0.932649354677339,0.926135876470265,0.99780140978001,0.00203619328038947,0.000162396939600615,0,0.932649354677339,0.927559904230402,0.937485033819722
"27",2,0.001,0.15,35,0.2,0.0023996,0.00239959999999994,1.00374479904,1.00442528782624,0.50187239952,0.502212643913118,0.998001,0.00187239952,0.00012660048,0,0.936668094047023,0.922642138258741,0.99760183952004,0.00221264391311785,0.000185516566842092,0,0.936668094047023,0.931715909311084,0.941364052375674
"28",2,0.001,0.15,35,0.3,0.0025994,0.00259940000000003,1.00377984536,1.00480495795736,0.50188992268,0.502402478978682,0.998001,0.00188992268,0.00010907732,0,0.945434057028514,0.924844673726221,0.99740228922009,0.00240247897868098,0.000195231801229051,0,0.945434057028514,0.940801000310998,0.949805487762442
"29",2,0.001,0.15,35,0.4,0.0027992,0.00279919999999989,1.00381305212,1.00518746368014,0.50190652606,0.50259373184007,0.998001,0.00190652606,9.247394e-05,0,0.953739899949975,0.927246429231176,0.99720275888016,0.00259373184007015,0.000203509279769736,0,0.953739899949975,0.949438894816972,0.957774086654072
"30",2,0.001,0.15,35,0.5,0.002999,0.00299899999999998,1.003831148,1.00555027383407,0.501915574,0.502775136917035,0.998001,0.001915574,8.3426e-05,0,0.958266133066533,0.926048395159271,0.99700324850025,0.0027751369170346,0.000221614582715373,0,0.958266133066533,0.954160897292367,0.962101676732678
"31",2,0.01,0.15,35,0.1,0.02198,0.0219800000000001,1.036993512,1.0403339819295,0.518496756,0.52016699096475,0.9801,0.018496756,0.001403244,0,0.929485226130653,0.922585117721882,0.9781407801,0.0201669909647501,0.00169222893525001,0,0.929485226130653,0.924291254558061,0.934427352120082
"32",2,0.01,0.15,35,0.2,0.02396,0.02396,1.037305424,1.04398537160576,0.518652712,0.521992685802879,0.9801,0.018652712,0.001247288,0,0.937322211055277,0.923423031961449,0.9761835204,0.02199268580288,0.00182379379712,0,0.937322211055277,0.932392873595769,0.941994921418477
"33",2,0.01,0.15,35,0.3,0.02594,0.0259400000000001,1.037550292,1.04752174726762,0.518775146,0.52376087363381,0.9801,0.018775146,0.001124854,0,0.943474673366834,0.921972578672692,0.9742282209,0.02376087363381,0.00201090546619,0,0.943474673366834,0.938767735692865,0.947921198077186
"34",2,0.01,0.15,35,0.4,0.02792,0.0279199999999999,1.037843052,1.05119113896672,0.518921526,0.52559556948336,0.9801,0.018921526,0.000978474,0,0.950830452261307,0.923190628587541,0.9722748816,0.0255955694833599,0.00212954891663999,0,0.950830452261307,0.946409418786177,0.954986496589077
"35",2,0.01,0.15,35,0.5,0.0299,0.0299,1.03810548,1.0547900506335,0.51905274,0.52739502531675,0.9801,0.01905274,0.00084726,0,0.957424120603015,0.923121918843354,0.9703235025,0.02739502531675,0.00228147218325,0,0.957424120603015,0.953281572908669,0.961297513670851
"36",2,0.03,0.15,35,0.1,0.06582,0.06582,1.109982712,1.11960269998054,0.554991356,0.55980134999027,0.9409,0.054991356,0.004108644,0,0.930479796954315,0.923759409584717,0.9352630681,0.05980134999027,0.00493558190973,0,0.930479796954315,0.925318355868818,0.935388787791585
"37",2,0.03,0.15,35,0.2,0.07164,0.0716400000000002,1.110725968,1.12991677817248,0.555362984,0.56495838908624,0.9409,0.055362984,0.003737016,0,0.936767918781726,0.923269268600638,0.9296430724,0.0649583890862401,0.00539853851376001,0,0.936767918781726,0.931819211350068,0.941460338677578
"38",2,0.03,0.15,35,0.3,0.07746,0.07746,1.111304296,1.13986174214998,0.555652148,0.56993087107499,0.9409,0.055652148,0.003447852,0,0.941660710659898,0.920627737639387,0.9240400129,0.06993087107499,0.00602911602501,0,0.941660710659898,0.936886736011491,0.946175391987474
