"","pool","prevalence","above.llod","limit","tau","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"1",1,0.001,0.15,35,0.1,0.001,0.001,1.0009441,1.0009441,1.0009441,1.0009441,0.999,0.0009441,5.59e-05,0,0.9441,0.9441,0.999,0.000944100000000001,5.59000000000001e-05,0,0.9441,0.939416471806806,0.948522728523738
"2",1,0.001,0.15,35,0.2,0.001,0.001,1.000948,1.000948,1.000948,1.000948,0.999,0.000948,5.2e-05,0,0.948,0.948,0.999,0.000948000000000001,5.20000000000001e-05,0,0.948,0.943466131619757,0.952270647620317
"3",1,0.001,0.15,35,0.3,0.001,0.001,1.0009453,1.0009453,1.0009453,1.0009453,0.999,0.0009453,5.47e-05,0,0.9453,0.9453,0.999,0.000945300000000001,5.47000000000001e-05,0,0.9453,0.940661838352398,0.949676618782638
"4",1,0.001,0.15,35,0.4,0.001,0.001,1.0009412,1.0009412,1.0009412,1.0009412,0.999,0.0009412,5.88e-05,0,0.9412,0.9412,0.999,0.000941200000000001,5.88000000000001e-05,0,0.9412,0.936409200467677,0.945731790096317
"5",1,0.001,0.15,35,0.5,0.001,0.001,1.0009471,1.0009471,1.0009471,1.0009471,0.999,0.0009471,5.29e-05,0,0.9471,0.9471,0.999,0.000947100000000001,5.29000000000001e-05,0,0.9471,0.942531016857117,0.951406322599811
"6",1,0.01,0.15,35,0.1,0.01,0.01,1.009407,1.009407,1.009407,1.009407,0.99,0.009407,0.000593,0,0.9407,0.9407,0.99,0.009407,0.000593,0,0.9407,0.935891030935145,0.945250267510795
"7",1,0.01,0.15,35,0.2,0.01,0.01,1.009475,1.009475,1.009475,1.009475,0.99,0.009475,0.000525,0,0.9475,0.9475,0.99,0.009475,0.000525,0,0.9475,0.942946579316724,0.951790511272238
"8",1,0.01,0.15,35,0.3,0.01,0.01,1.009444,1.009444,1.009444,1.009444,0.99,0.009444,0.000556,0,0.9444,0.9444,0.99,0.009444,0.000556,0,0.9444,0.939727758308082,0.948811256362049
"9",1,0.01,0.15,35,0.4,0.01,0.01,1.00943,1.00943,1.00943,1.00943,0.99,0.00943,0.00057,0,0.943,0.943,0.99,0.00943,0.00057,0,0.943,0.938275396415086,0.947464483906873
"10",1,0.01,0.15,35,0.5,0.01,0.01,1.009452,1.009452,1.009452,1.009452,0.99,0.009452,0.000548,0,0.9452,0.9452,0.99,0.009452,0.000548,0,0.9452,0.940558035191009,0.949580483934074
"11",1,0.03,0.15,35,0.1,0.03,0.03,1.028413,1.028413,1.028413,1.028413,0.97,0.028413,0.001587,0,0.9471,0.9471,0.97,0.028413,0.001587,0,0.9471,0.942531016857117,0.951406322599811
"12",1,0.03,0.15,35,0.2,0.03,0.03,1.028272,1.028272,1.028272,1.028272,0.97,0.028272,0.001728,0,0.9424,0.9424,0.97,0.028272,0.001728,0,0.9424,0.937653192588865,0.946887058146341
"13",1,0.03,0.15,35,0.3,0.03,0.03,1.028269,1.028269,1.028269,1.028269,0.97,0.028269,0.001731,0,0.9423,0.9423,0.97,0.028269,0.001731,0,0.9423,0.937549505537684,0.946790806900224
"14",1,0.03,0.15,35,0.4,0.03,0.03,1.028257,1.028257,1.028257,1.028257,0.97,0.028257,0.001743,0,0.9419,0.9419,0.97,0.028257,0.001743,0,0.9419,0.937134795805509,0.946405763350839
"15",1,0.03,0.15,35,0.5,0.03,0.03,1.028329,1.028329,1.028329,1.028329,0.97,0.028329,0.001671,0,0.9443,0.9443,0.97,0.028329,0.001671,0,0.9443,0.939623992091436,0.948715084475604
"16",1,0.05,0.15,35,0.1,0.05,0.0500000000000001,1.0471,1.0471,1.0471,1.0471,0.95,0.0471,0.0029,0,0.942,0.942,0.95,0.0471000000000001,0.0029,0,0.942,0.937238467486345,0.946502030004169
"17",1,0.05,0.15,35,0.2,0.05,0.0500000000000001,1.04714,1.04714,1.04714,1.04714,0.95,0.04714,0.00286,0,0.9428,0.9428,0.95,0.0471400000000001,0.00286,0,0.9428,0.93806797954869,0.947272024282152
"18",1,0.05,0.15,35,0.3,0.05,0.0500000000000001,1.047175,1.047175,1.047175,1.047175,0.95,0.047175,0.002825,0,0.9435,0.9435,0.95,0.0471750000000001,0.002825,0,0.9435,0.938794007411168,0.947945563970555
"19",1,0.05,0.15,35,0.4,0.05,0.0500000000000001,1.0471,1.0471,1.0471,1.0471,0.95,0.0471,0.0029,0,0.942,0.942,0.95,0.0471000000000001,0.0029,0,0.942,0.937238467486345,0.946502030004169
"20",1,0.05,0.15,35,0.5,0.05,0.0500000000000001,1.04734,1.04734,1.04734,1.04734,0.95,0.04734,0.00266,0,0.9468,0.9468,0.95,0.0473400000000001,0.00266,0,0.9468,0.942219390823916,0.951118135163108
"21",1,0.1,0.15,35,0.1,0.1,0.1,1.09429,1.09429,1.09429,1.09429,0.9,0.09429,0.00571,0,0.9429,0.9429,0.9,0.09429,0.00571,0,0.9429,0.938171686025021,0.947368256056138
"22",1,0.1,0.15,35,0.2,0.1,0.1,1.09419,1.09419,1.09419,1.09419,0.9,0.09419,0.00581,0,0.9419,0.9419,0.9,0.09419,0.00581,0,0.9419,0.937134795805509,0.946405763350839
"23",1,0.1,0.15,35,0.3,0.1,0.1,1.09402,1.09402,1.09402,1.09402,0.9,0.09402,0.00598,0,0.9402,0.9402,0.9,0.09402,0.00598,0,0.9402,0.935372954185558,0.944768651925556
"24",1,0.1,0.15,35,0.4,0.1,0.1,1.09403,1.09403,1.09403,1.09403,0.9,0.09403,0.00597,0,0.9403,0.9403,0.9,0.09403,0.00597,0,0.9403,0.93547656216532,0.944864982429886
"25",1,0.1,0.15,35,0.5,0.1,0.1,1.09473,1.09473,1.09473,1.09473,0.9,0.09473,0.00527,0,0.9473,0.9473,0.9,0.09473,0.00527,0,0.9473,0.942738789321946,0.951598425724203
"26",2,0.001,0.15,35,0.1,0.00219868915436659,0.00219980000000009,1.00372310903584,1.00406535663706,0.501861554517919,0.502032678318531,0.998001,0.00186155451791974,0.000137445482080255,0,0.931242880400073,0.924537142051271,0.99780140978001,0.00203267831853151,0.000165911901458577,0,0.931242880400073,0.926106597369438,0.93612624886207
"27",2,0.001,0.15,35,0.2,0.0023886864230419,0.00239959999999994,1.00374589938565,1.00442816648252,0.501872949692825,0.502214083241262,0.998001,0.00187294969282446,0.000126050307175546,0,0.936943318071263,0.92324231833677,0.99760183952004,0.00221408324126184,0.000184077238698104,0,0.936943318071263,0.9320007287074,0.941629512474206
"28",2,0.001,0.15,35,0.3,0.00258258768631061,0.00259940000000003,1.00376797499362,1.00479041550681,0.50188398749681,0.502395207753406,0.998001,0.00188398749681037,0.000115012503189626,0,0.942464980895635,0.922045584107832,0.99740228922009,0.00239520775340536,0.000202503026504673,0,0.942464980895635,0.937720571435099,0.946949600991418
"29",2,0.001,0.15,35,0.4,0.00280395586608753,0.00279919999999989,1.00380938954483,1.00517628372651,0.501904694772414,0.502588141863255,0.998001,0.0019046947724136,9.43052275863954e-05,0,0.952823798105855,0.925248039898321,0.99720275888016,0.00258814186325484,0.000209099256585048,0,0.952823798105855,0.948484536162595,0.95689681897617
"30",2,0.001,0.15,35,0.5,0.00299929519478377,0.00299899999999998,1.00383418378493,1.00555626508857,0.501917091892466,0.502778132544284,0.998001,0.00191709189246616,8.19081075338385e-05,0,0.959025458962562,0.927048020002997,0.99700324850025,0.00277813254428423,0.000218618955465748,0,0.959025458962562,0.954954242108255,0.962826497755289
"31",2,0.01,0.15,35,0.1,0.0220449999817209,0.0219800000000001,1.0370161099974,1.04034303964572,0.518508054998702,0.52017151982286,0.9801,0.0185080549987022,0.00139194500129782,0,0.93005301501016,0.922792300692304,0.9781407801,0.0201715198228601,0.00168770007714001,0,0.93005301501016,0.924877579029888,0.934976260280828
"32",2,0.01,0.15,35,0.2,0.0240057437547817,0.02396,1.03732397885315,1.0440227890752,0.518661989426574,0.522011394537599,0.9801,0.0186619894265742,0.0012380105734258,0,0.937788413395689,0.924208569330288,0.9761835204,0.0220113945376,0.0018050850624,0,0.937788413395688,0.932875449208989,0.942444464709938
