pool,pos,above.llod,limit,total.tests,tests.per.sample,tn,tp,fn,fp
1,0,0.05,35,1,1,1,0,0,0
1,0,0.1,35,1,1,1,0,0,0
1,0,0.15000000000000002,35,1,1,1,0,0,0
1,0,0.2,35,1,1,1,0,0,0
1,0,0.25,35,1,1,1,0,0,0
1,0,0.3,35,1,1,1,0,0,0
1,1,0.05,35,1.9854,1.9854,0,0.9854,0.0146,0
1,1,0.1,35,1.9671,1.9671,0,0.9671,0.0329,0
1,1,0.15000000000000002,35,1.9456,1.9456,0,0.9456,0.0544,0
1,1,0.2,35,1.922,1.922,0,0.922,0.078,0
1,1,0.25,35,1.8843,1.8843,0,0.8843,0.1157,0
1,1,0.3,35,1.8624,1.8624,0,0.86240000000000006,0.1376,0
2,0,0.05,35,1,0.5,1,0,0,0
2,0,0.1,35,1,0.5,1,0,0,0
2,0,0.15000000000000002,35,1,0.5,1,0,0,0
2,0,0.2,35,1,0.5,1,0,0,0
2,0,0.25,35,1,0.5,1,0,0,0
2,0,0.3,35,1,0.5,1,0,0,0
2,1,0.05,35,2.955,1.4775,0,0.9775,0.0225,0
2,1,0.1,35,2.9028,1.4514,0,0.9514,0.0486,0
2,1,0.15000000000000002,35,2.845,1.4225,0,0.9225,0.0775,0
2,1,0.2,35,2.787,1.3935,0,0.8935,0.1065,0
2,1,0.25,35,2.711,1.3555,0,0.8555,0.1445,0
2,1,0.3,35,2.6504,1.3252,0,0.8252,0.1748,0
2,2,0.05,35,2.9988,1.4994,0,0.9994,6e-4,0
2,2,0.1,35,2.9934,1.4967,0,0.9967,0.0033,0
2,2,0.15000000000000002,35,2.986,1.493,0,0.993,0.007,0
2,2,0.2,35,2.9702,1.4851,0,0.9851,0.0149,0
2,2,0.25,35,2.9492,1.4746,0,0.9746,0.0254,0
2,2,0.3,35,2.9314,1.4657,0,0.9657,0.0343,0
3,0,0.05,35,1,0.3333333333333333,1,0,0,0
3,0,0.1,35,1,0.3333333333333333,1,0,0,0
3,0,0.15000000000000002,35,1,0.3333333333333333,1,0,0,0
3,0,0.2,35,1,0.3333333333333333,1,0,0,0
3,0,0.25,35,1,0.3333333333333333,1,0,0,0
3,0,0.3,35,1,0.3333333333333333,1,0,0,0
3,1,0.05,35,3.9178,1.3059333333333334,0,0.9726,0.0274,0
3,1,0.1,35,3.8146,1.2715333333333334,0,0.9382,0.0618,0
3,1,0.15000000000000002,35,3.7291,1.2430333333333332,0,0.9097,0.0903,0
3,1,0.2,35,3.6322,1.2107333333333334,0,0.8774,0.1226,0
3,1,0.25,35,3.5173,1.1724333333333334,0,0.8391,0.1609,0
3,1,0.3,35,3.4195,1.1398333333333335,0,0.8065,0.1935,0
3,2,0.05,35,3.9943,1.3314333333333332,0,0.9981,0.0019,0
3,2,0.1,35,3.985,1.3283333333333334,0,0.995,0.005,0
3,2,0.15000000000000002,35,3.97,1.3233333333333335,0,0.99,0.01,0
3,2,0.2,35,3.9418,1.3139333333333334,0,0.9806,0.0194,0
3,2,0.25,35,3.9097,1.3032333333333332,0,0.9699,0.0301,0
3,2,0.3,35,3.8704,1.2901333333333334,0,0.9568,0.0432,0
3,3,0.05,35,3.9994,1.3331333333333333,0,0.9998,2e-4,0
3,3,0.1,35,3.9988,1.3329333333333333,0,0.9996,4e-4,0
3,3,0.15000000000000002,35,3.9961,1.3320333333333334,0,0.9987,0.0013,0
3,3,0.2,35,3.9937,1.3312333333333333,0,0.9979,0.0021,0
3,3,0.25,35,3.9811,1.3270333333333333,0,0.9937,0.0063,0
3,3,0.3,35,3.9742,1.3247333333333333,0,0.9914,0.0086,0
4,0,0.05,35,1,0.25,1,0,0,0
4,0,0.1,35,1,0.25,1,0,0,0
4,0,0.15000000000000002,35,1,0.25,1,0,0,0
4,0,0.2,35,1,0.25,1,0,0,0
4,0,0.25,35,1,0.25,1,0,0,0
4,0,0.3,35,1,0.25,1,0,0,0
4,1,0.05,35,4.8768,1.2192,0,0.9692,0.0308,0
4,1,0.1,35,4.7248,1.1812,0,0.9312,0.0688,0
4,1,0.15000000000000002,35,4.6036,1.1509,0,0.9009,0.0991,0
4,1,0.2,35,4.4616,1.1154,0,0.8654,0.1346,0
4,1,0.25,35,4.2728,1.0682,0,0.8182,0.1818,0
4,1,0.3,35,4.108,1.027,0,0.777,0.223,0
4,2,0.05,35,4.9936,1.2484,0,0.9984,0.0016,0
4,2,0.1,35,4.9704,1.2426,0,0.9926,0.0074,0
4,2,0.15000000000000002,35,4.948,1.237,0,0.987,0.013,0
4,2,0.2,35,4.922,1.2305,0,0.9805,0.0195,0
4,2,0.25,35,4.846,1.2115,0,0.9615,0.0385,0
4,2,0.3,35,4.7824,1.1956,0,0.9456,0.0544,0
4,3,0.05,35,4.9988,1.2497,0,0.9997,3e-4,0
4,3,0.1,35,4.9972,1.2493,0,0.9993,7e-4,0
4,3,0.15000000000000002,35,4.9952,1.2488,0,0.9988,0.0012000000000000001,0
4,3,0.2,35,4.9832,1.2458,0,0.9958,0.0042,0
4,3,0.25,35,4.9652,1.2413,0,0.9913,0.0087,0
4,3,0.3,35,4.9444,1.2361,0,0.9861,0.0139,0
