"","pool","prevalence","above.llod","limit","pos","total.tests","tests.per.sample","tn","tp","fn","fp","ppa","est","lwr.ci","upr.ci"
"1",1,0.001,0.05,35,0.001,1.0009861,1.0009861,0.999,0.0009861,1.39e-05,0,0.9861,0.9861,0.983608393011446,0.988302232608996
"2",1,0.001,0.1,35,0.001,1.0009667,1.0009667,0.999,0.0009667,3.33e-05,0,0.9667,0.9667,0.962994767031676,0.970130061804447
"3",1,0.001,0.15,35,0.001,1.0009463,1.0009463,0.999,0.0009463,5.37e-05,0,0.9463,0.9463,0.941700100437385,0.950637736207133
"4",1,0.001,0.2,35,0.001,1.0009162,1.0009162,0.999,0.0009162,8.38e-05,0,0.9162,0.9162,0.910597151001869,0.92155903333758
"5",1,0.001,0.25,35,0.001,1.0008943,1.0008943,0.999,0.0008943,0.0001057,0,0.8943,0.8943,0.888108770596575,0.900260515689271
"6",1,0.001,0.3,35,0.001,1.0008664,1.0008664,0.999,0.0008664,0.0001336,0,0.8664,0.8664,0.859575007185395,0.873010826898594
"7",1,0.01,0.05,35,0.01,1.009834,1.009834,0.99,0.009834,0.000166,0,0.9834,0.9834,0.980700249709641,0.985812642666788
"8",1,0.01,0.1,35,0.01,1.009629,1.009629,0.99,0.009629,0.000371,0,0.9629,0.9629,0.959008216015292,0.966519105573268
"9",1,0.01,0.15,35,0.01,1.009411,1.009411,0.99,0.009411,0.000589,0,0.9411,0.9411,0.936305559085615,0.945635493072328
"10",1,0.01,0.2,35,0.01,1.009178,1.009178,0.99,0.009178,0.000822,0,0.9178,0.9178,0.912244051451068,0.923111169848793
"11",1,0.01,0.25,35,0.01,1.008924,1.008924,0.99,0.008924,0.001076,0,0.8924,0.8924,0.886161896619787,0.898408520754854
"12",1,0.01,0.3,35,0.01,1.008643,1.008643,0.99,0.008643,0.001357,0,0.8643,0.8643,0.857431588431209,0.870955486785539
"13",1,0.03,0.05,35,0.03,1.029535,1.029535,0.97,0.029535,0.000465,0,0.9845,0.9845,0.981882737428407,0.98682925317638
"14",1,0.03,0.1,35,0.03,1.028851,1.028851,0.97,0.028851,0.001149,0,0.9617,0.9617,0.957751553669005,0.965376546289174
"15",1,0.03,0.15,35,0.03,1.028278,1.028278,0.97,0.028278,0.001722,0,0.9426,0.9426,0.93786057829878,0.947079549003037
"16",1,0.03,0.2,35,0.03,1.027627,1.027627,0.97,0.027627,0.002373,0,0.9209,0.9209,0.915436655865212,0.926116696677908
"17",1,0.03,0.25,35,0.03,1.026748,1.026748,0.97,0.026748,0.003252,0,0.8916,0.8916,0.885342338660118,0.897628554745104
"18",1,0.03,0.3,35,0.03,1.025824,1.025824,0.97,0.025824,0.004176,0,0.8608,0.8608,0.853860413186804,0.867528729491007
"19",1,0.05,0.05,35,0.05,1.049155,1.049155,0.95,0.049155,0.000845,0,0.9831,0.9831,0.980378254884214,0.985534879014463
"20",1,0.05,0.1,35,0.05,1.048305,1.048305,0.95,0.048305,0.001695,0,0.9661,0.9661,0.962364548355699,0.969560677192929
"21",1,0.05,0.15,35,0.05,1.047105,1.047105,0.95,0.047105,0.002895,0,0.9421,0.9421,0.937342142995781,0.946598292819741
"22",1,0.05,0.2,35,0.05,1.04616,1.04616,0.95,0.04616,0.00384,0,0.9232,0.9232,0.917806901055825,0.928345062364402
"23",1,0.05,0.25,35,0.05,1.04452,1.04452,0.95,0.04452,0.00548,0,0.8904,0.8904,0.88411319687286,0.896458410343837
"24",1,0.05,0.3,35,0.05,1.042785,1.042785,0.95,0.042785,0.007215,0,0.8557,0.8557,0.848659277253247,0.862532875714474
"25",1,0.1,0.05,35,0.1,1.09849,1.09849,0.9,0.09849,0.00151,0,0.9849,0.9849,0.982313490429471,0.987198165337388
"26",1,0.1,0.1,35,0.1,1.09656,1.09656,0.9,0.09656,0.00344,0,0.9656,0.9656,0.961839592987507,0.969085962203386
"27",1,0.1,0.15,35,0.1,1.09434,1.09434,0.9,0.09434,0.00566,0,0.9434,0.9434,0.938690277306614,0.947849355882525
"28",1,0.1,0.2,35,0.1,1.09167,1.09167,0.9,0.09167,0.00833,0,0.9167,0.9167,0.911111743419583,0.922044140073745
"29",1,0.1,0.25,35,0.1,1.08916,1.08916,0.9,0.08916,0.01084,0,0.8916,0.8916,0.885342338660118,0.897628554745104
"30",1,0.1,0.3,35,0.1,1.08627,1.08627,0.9,0.08627,0.01373,0,0.8627,0.8627,0.855798868805665,0.869389151701975
"31",1,0.15,0.05,35,0.15,1.14799,1.14799,0.85,0.14799,0.00201,0,0.9866,0.9866,0.984149192487356,0.988760991112415
"32",1,0.15,0.1,35,0.15,1.144825,1.144825,0.85,0.144825,0.005175,0,0.9655,0.9655,0.9617346262452,0.96899099477333
"33",1,0.15,0.15,35,0.15,1.141435,1.141435,0.85,0.141435,0.008565,0,0.9429,0.9429,0.938171686025021,0.947368256056138
"34",1,0.15,0.2,35,0.15,1.13812,1.13812,0.85,0.13812,0.01188,0,0.9208,0.9208,0.915333631973303,0.926019780914142
"35",1,0.15,0.25,35,0.15,1.13395,1.13395,0.85,0.13395,0.01605,0,0.893,0.893,0.886776634117069,0.898993426150962
"36",1,0.15,0.3,35,0.15,1.12933,1.12933,0.85,0.12933,0.02067,0,0.8622,0.8622,0.855288707181775,0.86889960867151
"37",2,0.001,0.05,35,0.002,1.0039012948,0.5019506474,0.998001,0.0019506474,4.83526e-05,0,0.975811605802901,0.975811605802901,0.972608246472095,0.978733565656797
"38",2,0.001,0.1,35,0.002,1.003812581,0.5019062905,0.998001,0.0019062905,9.27095e-05,0,0.953622061030515,0.953622061030515,0.949316110351738,0.957661267620073
