"","pool","prevalence","above.llod","limit","pos","total.tests","tests.per.sample","tn","tp","fn","fp","ppa","est","lwr.ci","upr.ci"
"1",1,0.001,0.05,35,0.001,1.001,1.001,0.999,0.001,0,0,1,1,0.999631180085381,1
"2",1,0.001,0.1,35,0.001,1.0009997,1.0009997,0.999,0.0009997,3e-07,0,0.9997,0.9997,0.999123525477486,0.999938128514252
"3",1,0.001,0.15,35,0.001,1.0009999,1.0009999,0.999,0.0009999,1e-07,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"4",1,0.001,0.2,35,0.001,1.001,1.001,0.999,0.001,0,0,1,1,0.999631180085381,1
"5",1,0.001,0.25,35,0.001,1.001,1.001,0.999,0.001,0,0,1,1,0.999631180085381,1
"6",1,0.001,0.3,35,0.001,1.0009999,1.0009999,0.999,0.0009999,1e-07,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"7",1,0.01,0.05,35,0.01,1.01,1.01,0.99,0.01,0,0,1,1,0.999631180085381,1
"8",1,0.01,0.1,35,0.01,1.009999,1.009999,0.99,0.009999,1e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"9",1,0.01,0.15,35,0.01,1.009997,1.009997,0.99,0.009997,3e-06,0,0.9997,0.9997,0.999123525477486,0.999938128514252
"10",1,0.01,0.2,35,0.01,1.009999,1.009999,0.99,0.009999,1e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"11",1,0.01,0.25,35,0.01,1.01,1.01,0.99,0.01,0,0,1,1,0.999631180085381,1
"12",1,0.01,0.3,35,0.01,1.009998,1.009998,0.99,0.009998,2e-06,0,0.9998,0.9998,0.999277719942276,0.99997577815436
"13",1,0.03,0.05,35,0.03,1.029997,1.029997,0.97,0.029997,3e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"14",1,0.03,0.1,35,0.03,1.029997,1.029997,0.97,0.029997,3e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"15",1,0.03,0.15,35,0.03,1.03,1.03,0.97,0.03,0,0,1,1,0.999631180085381,1
"16",1,0.03,0.2,35,0.03,1.03,1.03,0.97,0.03,0,0,1,1,0.999631180085381,1
"17",1,0.03,0.25,35,0.03,1.029994,1.029994,0.97,0.029994,6e-06,0,0.9998,0.9998,0.999277719942276,0.99997577815436
"18",1,0.03,0.3,35,0.03,1.029997,1.029997,0.97,0.029997,3e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"19",1,0.05,0.05,35,0.05,1.049995,1.049995,0.95,0.049995,5e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"20",1,0.05,0.1,35,0.05,1.05,1.05,0.95,0.05,0,0,1,1,0.999631180085381,1
"21",1,0.05,0.15,35,0.05,1.05,1.05,0.95,0.05,0,0,1,1,0.999631180085381,1
"22",1,0.05,0.2,35,0.05,1.05,1.05,0.95,0.05,0,0,1,1,0.999631180085381,1
"23",1,0.05,0.25,35,0.05,1.049985,1.049985,0.95,0.049985,1.5e-05,0,0.9997,0.9997,0.999123525477486,0.999938128514252
"24",1,0.05,0.3,35,0.05,1.05,1.05,0.95,0.05,0,0,1,1,0.999631180085381,1
"25",1,0.1,0.05,35,0.1,1.1,1.1,0.9,0.1,0,0,1,1,0.999631180085381,1
"26",1,0.1,0.1,35,0.1,1.09999,1.09999,0.9,0.09999,1e-05,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"27",1,0.1,0.15,35,0.1,1.09998,1.09998,0.9,0.09998,2e-05,0,0.9998,0.9998,0.999277719942276,0.99997577815436
"28",1,0.1,0.2,35,0.1,1.1,1.1,0.9,0.1,0,0,1,1,0.999631180085381,1
"29",1,0.1,0.25,35,0.1,1.09999,1.09999,0.9,0.09999,1e-05,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"30",1,0.1,0.3,35,0.1,1.09999,1.09999,0.9,0.09999,1e-05,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"31",1,0.15,0.05,35,0.15,1.15,1.15,0.85,0.15,0,0,1,1,0.999631180085381,1
"32",1,0.15,0.1,35,0.15,1.149985,1.149985,0.85,0.149985,1.5e-05,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"33",1,0.15,0.15,35,0.15,1.15,1.15,0.85,0.15,0,0,1,1,0.999631180085381,1
"34",1,0.15,0.2,35,0.15,1.15,1.15,0.85,0.15,0,0,1,1,0.999631180085381,1
"35",1,0.15,0.25,35,0.15,1.149985,1.149985,0.85,0.149985,1.5e-05,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"36",1,0.15,0.3,35,0.15,1.149985,1.149985,0.85,0.149985,1.5e-05,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"37",2,0.001,0.05,35,0.002,1.0039972004,0.5019986002,0.998001,0.0019986002,3.998e-07,0,0.9998,0.9998,0.999277719942276,0.99997577815436
"38",2,0.001,0.1,35,0.002,1.0039976002,0.5019988001,0.998001,0.0019988001,1.999e-07,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"39",2,0.001,0.15,35,0.002,1.0039972004,0.5019986002,0.998001,0.0019986002,3.998e-07,0,0.9998,0.9998,0.999277719942276,0.99997577815436
"40",2,0.001,0.2,35,0.002,1.0039972008,0.5019986004,0.998001,0.0019986004,3.996e-07,0,0.999800100050025,0.999800100050025,0.999277878735934,0.999975809308673
"41",2,0.001,0.25,35,0.002,1.0039976,0.5019988,0.998001,0.0019988,2e-07,0,0.999899949974987,0.999899949974987,0.999442876260008,0.999997462953329
"42",2,0.001,0.3,35,0.002,1.003998,0.501999,0.998001,0.001999,0,0,1,1,0.999631180085381,1
"43",2,0.01,0.05,35,0.02,1.03979208,0.51989604,0.9801,0.01989604,3.96e-06,0,0.999801005025126,0.999801005025126,0.999279315543082,0.999976090399831
"44",2,0.01,0.1,35,0.02,1.0397881,0.51989405,0.9801,0.01989405,5.95e-06,0,0.999701005025126,0.999701005025126,0.999125036602427,0.999938561367462
"45",2,0.01,0.15,35,0.02,1.03979602,0.51989801,0.9801,0.01989801,1.99e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"46",2,0.01,0.2,35,0.02,1.03979602,0.51989801,0.9801,0.01989801,1.99e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"47",2,0.01,0.25,35,0.02,1.0398,0.5199,0.9801,0.0199,0,0,1,1,0.999631180085381,1
"48",2,0.01,0.3,35,0.02,1.03979604,0.51989802,0.9801,0.01989802,1.98e-06,0,0.999900502512563,0.999900502512563,0.999443834632158,0.999997520807561
"49",2,0.03,0.05,35,0.0599999999999999,1.1182,0.5591,0.9409,0.0591,0,0,1,1,0.999631180085381,1
"50",2,0.03,0.1,35,0.0599999999999999,1.11817672,0.55908836,0.9409,0.05908836,1.164e-05,0,0.999803045685279,0.999803045685279,0.999282558657135,0.999976719544374
"51",2,0.03,0.15,35,0.0599999999999999,1.11819982,0.55909991,0.9409,0.05909991,8.99999999999999e-08,0,0.99999847715736,0.99999847715736,0.999627985591678,1
"52",2,0.03,0.2,35,0.0599999999999999,1.11818818,0.55909409,0.9409,0.05909409,5.91e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"53",2,0.03,0.25,35,0.0599999999999999,1.11815326,0.55907663,0.9409,0.05907663,2.337e-05,0,0.999604568527919,0.999604568527919,0.998982777858057,0.999893309498515
"54",2,0.03,0.3,35,0.0599999999999999,1.1182,0.5591,0.9409,0.0591,0,0,1,1,0.999631180085381,1
"55",2,0.05,0.05,35,0.1,1.1949805,0.59749025,0.9025,0.09749025,9.75e-06,0,0.9999,0.9999,0.999442963002053,0.999997468222407
"56",2,0.05,0.1,35,0.1,1.195,0.5975,0.9025,0.0975,0,0,1,1,0.999631180085381,1
"57",2,0.05,0.15,35,0.1,1.194981,0.5974905,0.9025,0.0974905,9.5e-06,0,0.999902564102564,0.999902564102564,0.99944741604787,0.999997729998213
"58",2,0.05,0.2,35,0.1,1.195,0.5975,0.9025,0.0975,0,0,1,1,0.999631180085381,1
"59",2,0.05,0.25,35,0.1,1.1949995,0.59749975,0.9025,0.09749975,2.5e-07,0,0.999997435897436,0.999997435897436,0.999625810192927,1
"60",2,0.05,0.3,35,0.1,1.1949995,0.59749975,0.9025,0.09749975,2.5e-07,0,0.999997435897436,0.999997435897436,0.999625810192927,1
"61",2,0.1,0.05,35,0.2,1.379996,0.689998,0.81,0.189998,2e-06,0,0.999989473684211,0.999989473684211,0.999609399984473,1
"62",2,0.1,0.1,35,0.2,1.379998,0.689999,0.81,0.189999,1e-06,0,0.999994736842105,0.999994736842105,0.999620203869032,1
"63",2,0.1,0.15,35,0.2,1.379996,0.689998,0.81,0.189998,2e-06,0,0.999989473684211,0.999989473684211,0.999609399984473,1
"64",2,0.1,0.2,35,0.2,1.379964,0.689982,0.81,0.189982,1.8e-05,0,0.999905263157895,0.999905263157895,0.999452118437473,0.999997988001384
"65",2,0.1,0.25,35,0.2,1.379926,0.689963,0.81,0.189963,3.7e-05,0,0.999805263157895,0.999805263157895,0.99928608785521,0.999977395747559
"66",2,0.1,0.3,35,0.2,1.379964,0.689982,0.81,0.189982,1.8e-05,0,0.999905263157895,0.999905263157895,0.999452118437473,0.999997988001384
"67",2,0.15,0.05,35,0.3,1.5548935,0.77744675,0.7225,0.27744675,5.325e-05,0,0.999808108108108,0.999808108108108,0.999290623567344,0.999978251769515
"68",2,0.15,0.1,35,0.3,1.5549955,0.77749775,0.7225,0.27749775,2.25e-06,0,0.999991891891892,0.999991891891892,0.99961434348483,1
