"","pool","prevalence","above.llod","limit","pos","total.tests","tests.per.sample","tn","tp","fn","fp","ppa","est","lwr.ci","upr.ci"
"1",1,0.001,0.05,35,0.0244140625,1.0242578125,1.0242578125,0.9755859375,0.0242578125,0.00015625,0,0.9936,0.9936,0.951722106594726,0.999973443123919
"2",1,0.001,0.1,35,0.0244140625,1.022998046875,1.022998046875,0.9755859375,0.022998046875,0.001416015625,0,0.942,0.942,0.876582600639161,0.978877907436443
"3",1,0.001,0.15,35,0.0244140625,1.02341796875,1.02341796875,0.9755859375,0.02341796875,0.00099609375,0,0.9592,0.9592,0.899640082798921,0.988582359967434
"4",1,0.001,0.2,35,0.0244140625,1.02384765625,1.02384765625,0.9755859375,0.02384765625,0.00056640625,0,0.9768,0.9768,0.924786372328334,0.996489418332442
"5",1,0.001,0.25,35,0.0244140625,1.02328125,1.02328125,0.9755859375,0.02328125,0.0011328125,0,0.9536,0.9536,0.892003892590454,0.985584065294854
"6",1,0.001,0.3,35,0.0244140625,1.0190625,1.0190625,0.9755859375,0.0190625,0.0053515625,0,0.7808,0.7808,0.686958248658559,0.85736776657036
"7",1,0.01,0.05,35,0.201612903225806,1.19491935483871,1.19491935483871,0.798387096774193,0.19491935483871,0.00669354838709677,0,0.9668,0.9668,0.910253105728848,0.992328607370808
"8",1,0.01,0.1,35,0.201612903225806,1.1833064516129,1.1833064516129,0.798387096774193,0.183306451612903,0.0183064516129032,0,0.9092,0.9092,0.835032069314267,0.957461994221585
"9",1,0.01,0.15,35,0.201612903225806,1.19701612903226,1.19701612903226,0.798387096774193,0.197016129032258,0.00459677419354839,0,0.9772,0.9772,0.925384576970235,0.996632232417448
"10",1,0.01,0.2,35,0.201612903225806,1.19088709677419,1.19088709677419,0.798387096774193,0.190887096774194,0.0107258064516129,0,0.9468,0.9468,0.88290538198845,0.981724744749311
"11",1,0.01,0.25,35,0.201612903225806,1.19145161290323,1.19145161290323,0.798387096774193,0.191451612903226,0.0101612903225806,0,0.9496,0.9496,0.8866305612107,0.98334024732468
"12",1,0.01,0.3,35,0.201612903225806,1.16403225806452,1.16403225806452,0.798387096774193,0.164032258064516,0.0375806451612903,0,0.8136,0.8136,0.723332554065187,0.884493832134239
