"","pool","prevalence","above.llod","limit","pos","total.tests","tests.per.sample","tn","tp","fn","fp","ppa","est","lwr.ci","upr.ci"
"1",2,0.001,0.05,35,2,2.9856,1.4928,0,0.9928,0.0072,0,0.9928,0.9928,0.990941266241522,0.994362303064865
"2",2,0.001,0.1,35,2,2.948,1.474,0,0.974,0.026,0,0.974,0.974,0.970689543736524,0.977030333070401
"3",2,0.001,0.15,35,2,2.9302,1.4651,0,0.9651,0.0349,0,0.9651,0.9651,0.961314839254629,0.968611044746346
"4",2,0.001,0.2,35,2,2.907,1.4535,0,0.9535,0.0465,0,0.9535,0.9535,0.949188934271266,0.957544398619468
"5",2,0.001,0.25,35,2,2.8768,1.4384,0,0.9384,0.0616,0,0.9384,0.9384,0.933508629556939,0.943034082421362
"6",2,0.001,0.3,35,2,2.823,1.4115,0,0.9115,0.0885,0,0.9115,0.9115,0.905762730861321,0.916996277093337
"7",2,0.01,0.05,35,2,2.9852,1.4926,0,0.9926,0.0074,0,0.9926,0.9926,0.99071876700379,0.99418507076541
"8",2,0.01,0.1,35,2,2.9506,1.4753,0,0.9753,0.0247,0,0.9753,0.9753,0.972065968820717,0.978252994579044
"9",2,0.01,0.15,35,2,2.9352,1.4676,0,0.9676,0.0324,0,0.9676,0.9676,0.963940668153383,0.970983563160403
"10",2,0.01,0.2,35,2,2.9042,1.4521,0,0.9521,0.0479,0,0.9521,0.9521,0.947730816884375,0.956203397294522
"11",2,0.01,0.25,35,2,2.877,1.4385,0,0.9385,0.0615,0,0.9385,0.9385,0.933612172801812,0.943130477808263
"12",2,0.01,0.3,35,2,2.8186,1.4093,0,0.9093,0.0907,0,0.9093,0.9093,0.903501453367908,0.914858873766523
"13",2,0.03,0.05,35,2,2.9856,1.4928,0,0.9928,0.0072,0,0.9928,0.9928,0.990941266241522,0.994362303064865
"14",2,0.03,0.1,35,2,2.9548,1.4774,0,0.9774,0.0226,0,0.9774,0.9774,0.97429416134746,0.980223298762768
"15",2,0.03,0.15,35,2,2.9274,1.4637,0,0.9637,0.0363,0,0.9637,0.9637,0.959846566689565,0.967280233795315
"16",2,0.03,0.2,35,2,2.8998,1.4499,0,0.9499,0.0501,0,0.9499,0.9499,0.945441461919991,0.954094131397548
"17",2,0.03,0.25,35,2,2.875,1.4375,0,0.9375,0.0625,0,0.9375,0.9375,0.932576897735257,0.942166366205614
"18",2,0.03,0.3,35,2,2.8164,1.4082,0,0.9082,0.0918,0,0.9082,0.9082,0.902371191679638,0.913789794487164
"19",2,0.05,0.05,35,2,2.9846,1.4923,0,0.9923,0.0077,0,0.9923,0.9923,0.990385588897013,0.993918640566449
"20",2,0.05,0.1,35,2,2.9522,1.4761,0,0.9761,0.0239,0,0.9761,0.9761,0.972914084917127,0.979004310140507
"21",2,0.05,0.15,35,2,2.9292,1.4646,0,0.9646,0.0354,0,0.9646,0.9646,0.960790283002469,0.96813592900557
"22",2,0.05,0.2,35,2,2.9006,1.4503,0,0.9503,0.0497,0,0.9503,0.9503,0.945857534508848,0.954477808550492
"23",2,0.05,0.25,35,2,2.8734,1.4367,0,0.9367,0.0633,0,0.9367,0.9367,0.931748926311962,0.94139482774367
"24",2,0.05,0.3,35,2,2.8236,1.4118,0,0.9118,0.0882,0,0.9118,0.9118,0.906071166205355,0.917287661742111
"25",2,0.1,0.05,35,2,2.9832,1.4916,0,0.9916,0.0084,0,0.9916,0.9916,0.989610641249069,0.993294456952102
"26",2,0.1,0.1,35,2,2.9542,1.4771,0,0.9771,0.0229,0,0.9771,0.9771,0.973975466902021,0.979942210297849
"27",2,0.1,0.15,35,2,2.935,1.4675,0,0.9675,0.0325,0,0.9675,0.9675,0.963835533367881,0.97088876448782
"28",2,0.1,0.2,35,2,2.9046,1.4523,0,0.9523,0.0477,0,0.9523,0.9523,0.947939058179821,0.95639503028199
"29",2,0.1,0.25,35,2,2.8704,1.4352,0,0.9352,0.0648,0,0.9352,0.9352,0.930197061230071,0.939947610528776
"30",2,0.1,0.3,35,2,2.8188,1.4094,0,0.9094,0.0906,0,0.9094,0.9094,0.903604216765083,0.914956050439235
"31",2,0.15,0.05,35,2,2.986,1.493,0,0.993,0.007,0,0.993,0.993,0.991164084482419,0.994539210016928
"32",2,0.15,0.1,35,2,2.9602,1.4801,0,0.9801,0.0199,0,0.9801,0.9801,0.977168759520986,0.982746704963293
"33",2,0.15,0.15,35,2,2.9342,1.4671,0,0.9671,0.0329,0,0.9671,0.9671,0.963415081386673,0.970509482256555
"34",2,0.15,0.2,35,2,2.9002,1.4501,0,0.9501,0.0499,0,0.9501,0.9501,0.945649488744703,0.954285979470288
"35",2,0.15,0.25,35,2,2.8768,1.4384,0,0.9384,0.0616,0,0.9384,0.9384,0.933508629556939,0.943034082421362
"36",2,0.15,0.3,35,2,2.8226,1.4113,0,0.9113,0.0887,0,0.9113,0.9113,0.905557117982188,0.916802009961098
"37",3,0.001,0.05,35,2.0003335557038,3.96761020680454,1.32253673560151,0,0.989203402268179,0.0107965977318212,0,0.989203402268179,0.989203402268179,0.986979071356561,0.991135455236011
"38",3,0.001,0.1,35,2.0003335557038,3.91032741827885,1.30344247275962,0,0.970109139426284,0.0298908605737158,0,0.970109139426284,0.970109139426284,0.966581633436965,0.973359193636462
"39",3,0.001,0.15,35,2.0003335557038,3.87673662441628,1.29224554147209,0,0.958912208138759,0.0410877918612408,0,0.958912208138759,0.958912208138759,0.954835894767868,0.962718416004021
"40",3,0.001,0.2,35,2.0003335557038,3.82605063375584,1.27535021125195,0,0.942016877918612,0.0579831220813876,0,0.942016877918612,0.942016877918612,0.937255965485633,0.946518277433294
"41",3,0.001,0.25,35,2.0003335557038,3.77296224149433,1.25765408049811,0,0.924320747164776,0.0756792528352235,0,0.924320747164777,0.924320747164777,0.918962370695496,0.929430409292962
"42",3,0.001,0.3,35,2.0003335557038,3.6754835557038,1.2251611852346,0,0.891827851901268,0.108172148098732,0,0.891827851901268,0.891827851901268,0.885575750297513,0.897850711342524
"43",3,0.01,0.05,35,2.00335570469799,3.97009362416107,1.32336454138702,0,0.990031208053691,0.00996879194630872,0,0.990031208053691,0.990031208053691,0.987884695809783,0.991884585724032
"44",3,0.01,0.1,35,2.00335570469799,3.91895067114094,1.30631689038031,0,0.97298355704698,0.0270164429530201,0,0.97298355704698,0.97298355704698,0.969614778711405,0.976072918451929
"45",3,0.01,0.15,35,2.00335570469799,3.86930067114094,1.28976689038031,0,0.95643355704698,0.0435664429530201,0,0.95643355704698,0.95643355704698,0.952247652712845,0.960350937281761
"46",3,0.01,0.2,35,2.00335570469799,3.82112248322148,1.27370749440716,0,0.940374161073826,0.0596258389261745,0,0.940374161073826,0.940374161073826,0.935553401329417,0.944936419787077
"47",3,0.01,0.25,35,2.00335570469799,3.76425738255034,1.25475246085011,0,0.921419127516779,0.0785808724832215,0,0.921419127516779,0.921419127516779,0.91597152132332,0.926619772920596
"48",3,0.01,0.3,35,2.00335570469799,3.66309496644295,1.22103165548098,0,0.887698322147651,0.112301677852349,0,0.887698322147651,0.887698322147651,0.881346750433796,0.893823107158179
"49",3,0.03,0.05,35,2.01020408163265,3.97087244897959,1.32362414965986,0,0.990290816326531,0.00970918367346939,0,0.990290816326531,0.990290816326531,0.988169387272574,0.99211883255956
"50",3,0.03,0.1,35,2.01020408163265,3.91144489795918,1.30381496598639,0,0.970481632653061,0.0295183673469388,0,0.970481632653061,0.970481632653061,0.966974209802637,0.973711351471911
"51",3,0.03,0.15,35,2.01020408163265,3.87425408163265,1.29141802721088,0,0.958084693877551,0.041915306122449,0,0.958084693877551,0.958084693877551,0.953971381843096,0.961928429743251
"52",3,0.03,0.2,35,2.01020408163265,3.82962142857143,1.27654047619048,0,0.943207142857143,0.0567928571428571,0,0.943207142857143,0.943207142857143,0.938490237572061,0.947663800503951
"53",3,0.03,0.25,35,2.01020408163265,3.75929285714286,1.25309761904762,0,0.919764285714286,0.0802357142857143,0,0.919764285714286,0.919764285714286,0.914266744124193,0.925015864939233
"54",3,0.03,0.3,35,2.01020408163265,3.66560408163265,1.22186802721088,0,0.888534693877551,0.111465306122449,0,0.888534693877551,0.888534693877551,0.882203049904656,0.894639054088791
"55",3,0.05,0.05,35,2.01724137931035,3.96811724137931,1.32270574712644,0,0.989372413793103,0.0106275862068966,0,0.989372413793103,0.989372413793103,0.987163714925772,0.991288663335601
"56",3,0.05,0.1,35,2.01724137931035,3.90787931034483,1.30262643678161,0,0.969293103448276,0.0307068965517241,0,0.969293103448276,0.969293103448276,0.965722076396237,0.972587229083437
