"","pool","pos","prevalence","prob_sim","prob_test","prob_bin"
"1",2,0,0.001,0.998001,0.998001,0.998001
"2",2,1,0.001,0.00169775069999998,0.00169972970999998,0.001998
"3",2,2,0.001,0.000301249299999996,0.000299270289999996,1e-06
"4",2,0,0.01,0.9801,0.9801,0.9801
"5",2,1,0.01,0.01675381,0.016920771,0.0198
"6",2,2,0.01,0.00314619,0.002979229,1e-04
"7",2,0,0.03,0.9409,0.9409,0.9409
"8",2,1,0.03,0.04867476,0.050252139,0.0582
"9",2,2,0.03,0.01042524,0.00884786100000001,9e-04
"10",2,0,0.05,0.9025,0.9025,0.9025
"11",2,1,0.05,0.07814625,0.082903275,0.095
"12",2,2,0.05,0.01935375,0.014596725,0.0025
"13",2,0,0.1,0.81,0.81,0.81
"14",2,1,0.1,0.145236,0.1615551,0.18
"15",2,2,0.1,0.044764,0.0284449,0.01
"16",3,0,0.001,0.997002999,0.997002999,0.997002999
"17",3,1,0.001,0.0021839146287,0.00216662193293,0.002994003
"18",3,2,0.001,0.0007453541487,0.00076459489512,2.997e-06
"19",3,3,0.001,6.77322226e-05,6.578417195e-05,1e-09
"20",3,0,0.01,0.970299,0.970299,0.970299
"21",3,1,0.01,0.0211500821,0.02147174393,0.029403
"22",3,2,0.01,0.00781136299999999,0.00757731911999999,0.000297
"23",3,3,0.01,0.000739554899999999,0.00065193695,1e-06
"24",3,0,0.03,0.912673,0.912673,0.912673
"25",3,1,0.03,0.059207706,0.06313130811,0.084681
"26",3,2,0.03,0.0251938395,0.02227886424,0.002619
"27",3,3,0.03,0.0029254545,0.00191682765,2.7e-05
"28",3,0,0.05,0.857375,0.857375,0.857375
"29",3,1,0.05,0.0922213250000001,0.10310789125,0.135375
"30",3,2,0.05,0.04478425,0.03638649,0.00712499999999999
"31",3,3,0.05,0.005619425,0.00313061875,0.000125
"32",3,0,0.1,0.729,0.729,0.729
"33",3,1,0.1,0.1613263,0.19591403,0.243
"34",3,2,0.1,0.09485,0.06913752,0.027
"35",3,3,0.1,0.0148237,0.00594845,0.001
"36",4,0,0.001,0.996005996001,0.996005996001,0.996005996001
"37",4,1,0.001,0.00244712625018728,0.0024382595613095,0.00398801199600001
"38",4,2,0.001,0.00130843571007239,0.00131350809515112,5.98800600000001e-06
"39",4,3,0.001,0.000226859427143198,0.000230094570382388,3.996e-09
"40",4,4,0.001,1.15826115970999e-05,1.21417721569599e-05,1e-12
"41",4,0,0.01,0.96059601,0.96059601,0.96059601
"42",4,1,0.01,0.023055274549,0.0240553478152,0.03881196
