"","pool","pos","prevalence","prob_sim_real"
"1",1,0,0.001,0.997
"2",1,1,0.001,0.003
"3",1,0,0.01,0.977
"4",1,1,0.01,0.023
"5",1,0,0.03,0.959
"6",1,1,0.03,0.041
"7",1,0,0.05,0.834
"8",1,1,0.05,0.166
"9",1,0,0.1,0.851
"10",1,1,0.1,0.149
"11",2,0,0.001,0.99539295577257
"12",2,1,0.001,0.00460460629880617
"13",2,2,0.001,2.43792862421843e-06
"14",2,0,0.01,0.961647491928181
"15",2,1,0.01,0.0379995775454631
"16",2,2,0.01,0.000352930526356213
"17",2,0,0.03,0.846092280869616
"18",2,1,0.03,0.148227385542218
"19",2,2,0.03,0.0056803335881664
"20",2,0,0.05,0.777953161930529
"21",2,1,0.05,0.214001891322358
"22",2,2,0.05,0.00804494674711313
"23",2,0,0.1,0.785445302902535
"24",2,1,0.1,0.205154229414323
"25",2,2,0.1,0.00940046768314206
"26",3,0,0.001,0.996000759876275
"27",3,1,0.001,0.00399924012372499
"28",3,2,0.001,0
"29",3,3,0.001,0
"30",3,0,0.01,0.955179615310935
"31",3,1,0.01,0.0443620222760015
"32",3,2,0.01,0.000458362413063879
"33",3,3,0.01,0
"34",3,0,0.03,0.83419504563521
"35",3,1,0.03,0.154748467647893
"36",3,2,0.03,0.0107908513345767
"37",3,3,0.03,0.000265635382320034
"38",3,0,0.05,0.66176920327121
"39",3,1,0.05,0.295991721743255
"40",3,2,0.05,0.0405565703290049
"41",3,3,0.05,0.00168250465652964
"42",3,0,0.1,0.50726033420905
"43",3,1,0.1,0.392461067795602
"44",3,2,0.1,0.0962225812742487
"45",3,3,0.1,0.00405601672109915
"46",4,0,0.001,0.993948075806152
"47",4,1,0.001,0.00526583466006461
"48",4,2,0.001,0.000784530476779255
"49",4,3,0.001,1.55905700444664e-06
"50",4,4,0.001,0
"51",4,0,0.01,0.89983242511974
"52",4,1,0.01,0.0860984275804378
"53",4,2,0.01,0.0137464345869446
"54",4,3,0.01,0.000322712712877352
"55",4,4,0.01,0
"56",4,0,0.03,0.749897422030214
"57",4,1,0.03,0.216958707223042
"58",4,2,0.03,0.0300108523626009
"59",4,3,0.03,0.0030548528086718
"60",4,4,0.03,7.81655754719466e-05
"61",4,0,0.05,0.562678427726255
"62",4,1,0.05,0.329416907552412
"63",4,2,0.05,0.0962680035110058
"64",4,3,0.05,0.0113981610781635
"65",4,4,0.05,0.000238500132164174
"66",4,0,0.1,0.370365064802933
"67",4,1,0.1,0.422187610871088
"68",4,2,0.1,0.176853900421233
